"Feature","Gain","Cover","Frequency"
"victim_type_id8",0.298571733274635,0.0799997735807958,0.0534559417946645
"age_numNS",0.110239936344273,0.0251293294719157,0.0254648342764753
"agency_id21331",0.0942690235386646,0.0524141697115916,0.0402519536513069
"location_id17",0.055177793382613,0.0176013136081209,0.00963352196173538
"location_id25",0.0541379309326196,0.0509429287294192,0.0408919428725411
"victim_type_id4",0.049105491137095,0.0229147129817159,0.0308879008353544
"location_id35",0.0342457481966648,0.0289645677676709,0.0500202101859337
"location_id15",0.0338117703368529,0.0557853989858373,0.0222648881703045
"location_id24",0.0306024668452457,0.00932416920211992,0.00606305578011318
"location_id33",0.0298607774897325,0.0341731388140313,0.0169091888978712
"race_id20",0.0188394996920017,0.0183059627859692,0.0180544327674481
"location_id7",0.0147476537955774,0.0140466347612148,0.00973457289140393
"sex_codeM",0.0120004089066453,0.0180741563404801,0.0408245755860954
"location_id14",0.0115802742280907,0.0102127981581091,0.00454729183508488
"location_id98",0.00850091044105519,0.0186988496177275,0.0130355699272433
"victim_type_id3",0.00772859303354093,0.00420864502773821,0.00559148477499326
"sex_codeX",0.00658299193209692,0.00434367983156936,0.00498517919698195
"location_id34",0.00498793192584042,0.00820367514285147,0.00303152789005659
"location_id40",0.00486800474094197,0.0129420643875183,0.00653462678523309
"location_id44",0.00479894022929769,0.0144361346769298,0.00586095392077607
"agency_id20955",0.00477204424379351,0.0216162367129095,0.0132376717865804
"race_id99",0.00440939535000533,0.000507390599609978,0.000572621934788467
"time_of_daynight",0.00427872426384426,0.0130504319886928,0.0255995688493667
"location_id28",0.00416977319049573,0.0172551153302225,0.00471571005119914
"age_num15",0.00356296245301979,0.0151487887386699,0.00939773645917542
"age_num14",0.00353674774340492,0.0129373595756687,0.0111156022635408
"location_id41",0.0033798328539967,0.00943480617416555,0.00414308811641067
"victim_type_id5",0.00291399611990697,0.0168208389522509,0.00569253570466182
"age_num16",0.0028986546165871,0.0098826972537848,0.0101387766100781
"age_num13",0.00286474006168001,0.0114422151630855,0.00781460522770143
"agency_id21195",0.00265926843876158,0.0129779522900822,0.0051535974130962
"agency_id21003",0.00230502760470333,0.0120829044959057,0.00744408515225007
"location_id8",0.00223661042637736,0.00925618329967204,0.00562516841821611
"age_num17",0.00219697291155317,0.00664001309876099,0.00788197251414713
"location_id26",0.00201438679774426,0.0078757742865553,0.0119240097008892
"agency_id21133",0.00201265532254517,0.0120486331106256,0.00623147399622743
"age_num12",0.00167371208197289,0.00773112112870648,0.0050862301266505
"location_id6",0.001654663160928,0.00330654649099793,0.00154944758825115
"location_id11",0.00158740555241836,0.00685810047744311,0.00458097547830773
"location_id19",0.00156858453149303,0.00596659233810134,0.00323362974939369
"location_id32",0.00151618097326977,0.00959085265552841,0.00532201562921046
"incident_date_dayofweekSunday",0.00149676932467053,0.00973234286344206,0.00778092158447858
"agency_id20916",0.00146851630979017,0.00275530324171563,0.0052883319859876
"location_id43",0.00145397097526858,0.0021355686426632,0.00138102937213689
"agency_id20954",0.00145133140160256,0.00325160813792734,0.0050862301266505
"agency_id21314",0.0013885802081638,0.000793330853251433,0.00148208030180544
"location_id13",0.001374983245239,0.00442670536289367,0.00148208030180544
"agency_id21117",0.00110526251089743,0.00424400386750593,0.00151576394502829
"agency_id21132",0.0010797527157481,0.00491581725235556,0.00266100781460523
"age_num06",0.00102496913677276,0.00223361837662691,0.00269469145782808
"agency_id21059",0.00102398062673883,0.00559138435488474,0.008589329021827
"age_num11",0.000992202500759826,0.00239558377182857,0.00222312045270817
"agency_id20918",0.000989277984597994,0.00575142413671969,0.00744408515225007
"victim_type_id2",0.000984227545541963,0.00155785768434525,0.00225680409593102
"agency_id21022",0.000916788707947893,0.00191907683205411,0.00181891673403395
"age_num05",0.000784773455567498,0.00288134074040547,0.00276205874427378
"agency_id21206",0.000764913549522707,0.0045217824038457,0.00390730261385071
"age_num18",0.000743267348332805,0.00296239723636251,0.00380625168418216
"incident_hour21",0.000734253575341856,0.00402922798770824,0.0035704661816222
"location_id37",0.000732138091135167,0.00303419951367495,0.00353678253839935
"age_num08",0.000701879231940151,0.00189141282785843,0.00239153866882242
"age_num09",0.000694596799455555,0.00174594265078864,0.00154944758825115
"age_num10",0.000690000544325728,0.00182000877599844,0.00249258959849097
"agency_id21285",0.000667773278646609,0.00388696418257417,0.00468202640797629
"agency_id21069",0.000667175714296489,0.00407004428733517,0.00464834276475344
"agency_id21143",0.000645838161525002,0.00266924464556308,0.00397466990029642
"incident_hour12",0.00058379269070823,0.00278403451297758,0.0051535974130962
"agency_id21216",0.000553724758475075,0.001548535856884,0.00127997844246834
"age_num07",0.000530797999713287,0.00140023048980429,0.00138102937213689
"age_num04",0.000522818330249452,0.00170817484222698,0.00191996766370251
"incident_date_month07",0.000521499957690234,0.00092280178475489,0.0035704661816222
"incident_date_dayofweekSaturday",0.000509112468242705,0.00279791507915499,0.00609673942333603
"agency_id21122",0.000482766197492039,0.000671026218254042,0.00121261115602264
"agency_id21232",0.000468927528441628,0.00150080546068185,0.00360414982484506
"location_id39",0.00044320764628788,0.00164776341261276,0.00124629479924549
"agency_id21027",0.000440002834529835,0.00238700449866629,0.000707356507679871
"agency_id20906",0.000439086149400606,0.000278634287794788,0.000437887361897063
"agency_id21127",0.000438467606655911,0.00154024520671225,0.00249258959849097
"agency_id21234",0.00041365400461707,0.00217009827457821,0.00131366208569119
"sex_codeU",0.000404066878296385,0.00118771798178553,0.00134734572891404
"agency_id21317",0.000400146140941141,0.00326301860170476,0.00410940447318782
"location_id5",0.0003773431648093,0.00103469647123765,0.000774723794125573
"age_numBB",0.00036864777178738,0.0030537517930038,0.00259364052815953
"incident_hour8",0.000367294783193454,0.00241794591166701,0.00441255726219348
"age_num19",0.000363731352009692,0.0013929222623951,0.00191996766370251
"race_id98",0.000362432206839402,0.00163910853184424,0.00387361897062786
"incident_date_month03",0.000350160149071813,0.0001404572927919,0.00525464834276475
"agency_id21134",0.000350028722628755,0.00152846451324589,0.00259364052815953
"incident_date_dayofweekThursday",0.000348573670609538,0.000139228609675868,0.00805039073026139
"agency_id21125",0.000343833428938456,0.00163100842426703,0.0016504985179197
"location_id30",0.000338037263516048,0.00112769563614996,0.000471571005119914
"agency_id27332",0.000333649580097291,0.000848342576171645,0.00208838587981676
"location_id21",0.000331930159898609,0.00381363927853174,0.00144839665858259
"incident_hour20",0.000321926496273125,0.00204249472715783,0.00272837510105093
"incident_hour4",0.000317503759068248,0.00144122771443354,0.00249258959849097
"age_num03",0.000309131662300441,0.00145803383789834,0.00121261115602264
"agency_id21205",0.00030834212711971,0.00489440296908186,0.00306521153327944
"incident_hour2",0.000305244025686557,0.0022658315971702,0.00289679331716518
"agency_id21087",0.000297088952599383,0.00113458773605384,0.00195365130692536
"location_id20",0.000289808607852289,0.00101813535831546,0.00114524386957693
"incident_date_dayofweekWednesday",0.000286467049287874,0.000117956971482941,0.00778092158447858
"agency_id21217",0.00027862877353001,0.00124786335642267,0.00255995688493667
"incident_hour1",0.000278482547721918,0.00274566089132923,0.00242522231204527
"agency_id21153",0.000277442467204376,0.00190220528991742,0.00249258959849097
"incident_hour23",0.000274590971345329,0.00216227279210977,0.00195365130692536
"location_id23",0.000263721351244591,0.00103036465056387,0.00205470223659391
"agency_id21070",0.000263281326892896,0.00156341608131103,0.00215575316626246
"incident_hour19",0.000256628869199476,0.00141849163118243,0.00286310967394233
"agency_id20972",0.000249100285728778,0.00199260513388861,0.00303152789005659
"incident_hour5",0.000241993761965304,0.00192574839390253,0.00222312045270817
"incident_hour13",0.000238183455821951,0.00143378512640421,0.00286310967394233
"agency_id21222",0.000237932237021428,0.00038340507611742,0.000707356507679871
"agency_id21161",0.000234870502628629,0.00185697137307612,0.0017852330908111
"agency_id20945",0.000226291686174956,0.00163451646483818,0.0017852330908111
"agency_id21289",0.000218623156945264,0.000859214835679025,0.000842091080571275
"age_num20",0.000217812508677217,0.00073050607455373,0.0018526003772568
