"","Precision","Recall","F1_Score"
"Class: 09A",NA,0,NA
"Class: 09B",NA,0,NA
"Class: 09C",NA,0,NA
"Class: 100",NA,0,NA
"Class: 11A",1,0.00317460317460317,0.00632911392405063
"Class: 11B",NA,0,NA
"Class: 11C",NA,0,NA
"Class: 11D",0.352941176470588,0.0304568527918782,0.0560747663551402
"Class: 120",0.276190476190476,0.0461049284578696,0.0790190735694823
"Class: 13A",0.272189349112426,0.145161290322581,0.189343699977132
"Class: 13B",0.270185862279098,0.688871625558361,0.388138097061881
"Class: 13C",0.378698224852071,0.0426098535286285,0.0766008378216637
"Class: 200",NA,0,NA
"Class: 210",0.37037037037037,0.126582278481013,0.188679245283019
"Class: 220",0.38492597577389,0.139172749391727,0.204431736954968
"Class: 23A",NA,0,NA
"Class: 23B",NA,0,NA
"Class: 23C",0.741100993377483,0.919147843942505,0.82057745187901
"Class: 23D",NA,0,NA
"Class: 23E",NA,0,NA
"Class: 23F",0.273182957393484,0.0503929727230698,0.0850897736143638
"Class: 23G",0.444444444444444,0.00431499460625674,0.00854700854700855
"Class: 23H",0.265235722499042,0.186976492839773,0.219334389857369
"Class: 240",0.327642656688494,0.518312985571587,0.401490184840235
"Class: 250",0.344036697247706,0.280898876404494,0.309278350515464
"Class: 26A",0.310015898251192,0.158407798537774,0.209677419354839
"Class: 26B",0.317757009345794,0.110569105691057,0.164053075995175
"Class: 26C",0.638888888888889,0.11358024691358,0.192872117400419
"Class: 26D",0.833333333333333,0.625,0.714285714285714
"Class: 26E",0.36,0.222222222222222,0.274809160305343
"Class: 26F",0.407894736842105,0.112727272727273,0.176638176638177
"Class: 26G",NA,0,NA
"Class: 270",NA,0,NA
"Class: 280",0.222222222222222,0.00481927710843374,0.00943396226415094
"Class: 290",0.261406942012566,0.435259818212999,0.326640926640927
"Class: 35A",0.48186960957062,0.854043392504931,0.616114306041383
"Class: 35B",0.453703703703704,0.0122011952191235,0.0237633365664403
"Class: 36A",NA,0,NA
"Class: 36B",0.4,0.018348623853211,0.0350877192982456
"Class: 370",0.951456310679612,0.314102564102564,0.472289156626506
"Class: 39B",NA,NA,NA
"Class: 39C",NA,NA,NA
"Class: 40A",0.8,0.0833333333333333,0.150943396226415
"Class: 40B",0.5,0.0588235294117647,0.105263157894737
"Class: 40C",1,0.5,0.666666666666667
"Class: 510",NA,NA,NA
"Class: 520",0.700548081714001,0.458577951728637,0.554307116104869
"Class: 64A",NA,0,NA
"Class: 64B",NA,0,NA
"Class: 720",1,0.0232558139534884,0.0454545454545454
