agency_id,county_name
2,FAIRBANKS NORTH STAR
4,KETCHIKAN GATEWAY
5,KODIAK ISLAND
6,NOME
7,PETERSBURG
8,KENAI PENINSULA
10,SKAGWAY
11,WRANGELL
12,VALDEZ-CORDOVA
13,BETHEL
14,VALDEZ-CORDOVA
15,NORTHWEST ARCTIC
16,MATANUSKA-SUSITNA
17,NORTH SLOPE
19,KENAI PENINSULA
20,HAINES
21,KENAI PENINSULA
22,KENAI PENINSULA
24,NOT SPECIFIED
25,NOT SPECIFIED
26,NOT SPECIFIED
28,DILLINGHAM
30,FAIRBANKS NORTH STAR
31,ALEUTIANS WEST
33,NOT SPECIFIED
34,NOT SPECIFIED
35,PRINCE OF WALES-HYDER
36,BRISTOL BAY
42,MATANUSKA-SUSITNA
25426,NOT SPECIFIED
