agency_id,county_name
1826,ADAMS
1827,"ADAMS, ARAPAHOE, DOUGLAS"
1828,"ADAMS, WELD"
1829,ADAMS
1830,ADAMS
1831,"ADAMS, JEFFERSON"
1832,"ADAMS, WELD"
1835,ADAMS
1836,ALAMOSA
1837,ALAMOSA
1838,ALAMOSA
1839,ARAPAHOE
1840,ARAPAHOE
1841,"ARAPAHOE, DOUGLAS, JEFFERSON"
1842,ARAPAHOE
1843,ARAPAHOE
1844,ARAPAHOE
1845,"ARAPAHOE, JEFFERSON"
1847,ARAPAHOE
1848,ARAPAHOE
1849,ARAPAHOE
1852,ARCHULETA
1853,ARCHULETA
1855,BACA
1856,BACA
1859,BACA
1860,BENT
1862,BOULDER
1863,BOULDER
1865,BOULDER
1866,"BOULDER, WELD"
1867,BOULDER
1868,BOULDER
1870,BOULDER
1871,CHAFFEE
1872,CHAFFEE
1873,CHAFFEE
1874,CHEYENNE
1876,CLEAR CREEK
1877,CLEAR CREEK
1878,CLEAR CREEK
1879,CLEAR CREEK
1880,CONEJOS
1888,CROWLEY
1890,CUSTER
1892,DELTA
1893,DELTA
1895,DELTA
1896,DELTA
1899,DENVER
1902,DOLORES
1904,DOUGLAS
1905,DOUGLAS
1906,DOUGLAS
1908,DOUGLAS
1909,EAGLE
1910,EAGLE
1911,EAGLE
1913,"EAGLE, PITKIN"
1914,EAGLE
1915,ELBERT
1916,ELBERT
1917,ELBERT
1919,EL PASO
1920,EL PASO
1921,EL PASO
1922,EL PASO
1923,EL PASO
1924,EL PASO
1926,EL PASO
1927,"EL PASO, TELLER"
1928,EL PASO
1929,FREMONT
1930,FREMONT
1931,FREMONT
1932,GARFIELD
1933,GARFIELD
1934,GARFIELD
1935,GARFIELD
1936,GARFIELD
1937,GARFIELD
1938,GARFIELD
1940,GILPIN
1942,GILPIN
1944,GRAND
1945,GRAND
1947,GRAND
1948,GRAND
1949,GUNNISON
1950,GUNNISON
1951,GUNNISON
1952,GUNNISON
1953,HINSDALE
1954,HUERFANO
1957,JACKSON
1958,JEFFERSON
1959,"ADAMS, JEFFERSON"
1960,JEFFERSON
1961,JEFFERSON
1962,JEFFERSON
1963,JEFFERSON
1964,JEFFERSON
1965,JEFFERSON
1966,JEFFERSON
1967,JEFFERSON
1968,JEFFERSON
1969,KIOWA
1971,KIT CARSON
1972,KIT CARSON
1975,LAKE
1976,LAKE
1977,LA PLATA
1978,LA PLATA
1979,NOT SPECIFIED
1980,LA PLATA
1981,LA PLATA
1982,LA PLATA
1983,LA PLATA
1984,LARIMER
1986,LARIMER
1987,LARIMER
1988,LARIMER
1989,LARIMER
1991,"LARIMER, WELD"
1992,LAS ANIMAS
1993,LAS ANIMAS
1994,LINCOLN
1995,LINCOLN
1996,LINCOLN
1997,LOGAN
1998,LOGAN
2000,MESA
2001,MESA
2002,MESA
2003,MESA
2006,MESA
2009,MOFFAT
2010,MOFFAT
2011,MOFFAT
2012,MONTEZUMA
2013,MONTEZUMA
2014,MONTEZUMA
2017,MONTROSE
2018,MONTROSE
2020,MONTROSE
2022,MONTROSE
2023,MORGAN
2024,MORGAN
2025,MORGAN
2026,MORGAN
2027,MORGAN
2029,OTERO
2030,OTERO
2031,OTERO
2033,OTERO
2034,OURAY
2035,OURAY
2036,OURAY
2037,PARK
2038,PARK
2040,PHILLIPS
2041,PHILLIPS
2042,PHILLIPS
2043,PITKIN
2044,PITKIN
2045,PITKIN
2046,PROWERS
2047,PROWERS
2049,PROWERS
2050,PUEBLO
2051,PUEBLO
2052,PUEBLO
2054,RIO BLANCO
2055,RIO BLANCO
2056,RIO BLANCO
2057,RIO GRANDE
2058,RIO GRANDE
2059,RIO GRANDE
2060,RIO GRANDE
2061,ROUTT
2062,ROUTT
2063,ROUTT
2064,ROUTT
2068,"RIO GRANDE, SAGUACHE"
2070,SAN JUAN
2072,SAN MIGUEL
2073,SAN MIGUEL
2075,SEDGWICK
2077,SUMMIT
2078,SUMMIT
2079,SUMMIT
2080,SUMMIT
2081,SUMMIT
2082,SUMMIT
2083,TELLER
2084,TELLER
2085,TELLER
2087,WASHINGTON
2090,WELD
2091,WELD
2092,WELD
2093,WELD
2094,WELD
2095,WELD
2096,"LARIMER, WELD"
2097,"BOULDER, WELD"
2098,WELD
2099,WELD
2100,"LARIMER, WELD"
2101,WELD
2102,WELD
2103,WELD
2106,WELD
2107,WELD
2108,WELD
2109,"ADAMS, WELD"
2110,YUMA
2111,YUMA
2112,YUMA
2113,BROOMFIELD
2114,NOT SPECIFIED
2115,NOT SPECIFIED
2118,NOT SPECIFIED
2119,DENVER
23103,WELD
23111,WELD
23154,WELD
23192,WELD
23205,WELD
23212,WELD
23240,SAN MIGUEL
25267,MOFFAT
25314,EAGLE
29074,JEFFERSON
33277,WELD
