agency_id,county_name
2120,NEW HAVEN
2121,HARTFORD
2123,HARTFORD
2124,FAIRFIELD
2125,HARTFORD
2126,NEW HAVEN
2127,FAIRFIELD
2128,HARTFORD
2129,FAIRFIELD
2130,HARTFORD
2131,NEW HAVEN
2132,MIDDLESEX
2133,TOLLAND
2134,MIDDLESEX
2135,FAIRFIELD
2136,FAIRFIELD
2137,NEW HAVEN
2138,MIDDLESEX
2139,HARTFORD
2140,NEW HAVEN
2141,NEW LONDON
2142,FAIRFIELD
2143,HARTFORD
2144,HARTFORD
2145,FAIRFIELD
2146,HARTFORD
2147,HARTFORD
2148,HARTFORD
2149,FAIRFIELD
2151,NEW LONDON
2152,NEW HAVEN
2153,NEW HAVEN
2154,HARTFORD
2157,NEW HAVEN
2158,HARTFORD
2159,NEW HAVEN
2160,NEW HAVEN
2161,MIDDLESEX
2162,NEW HAVEN
2163,FAIRFIELD
2165,NEW HAVEN
2166,HARTFORD
2167,FAIRFIELD
2168,NEW HAVEN
2169,HARTFORD
2170,NEW LONDON
2171,LITCHFIELD
2172,FAIRFIELD
2173,NEW HAVEN
2174,NEW HAVEN
2175,FAIRFIELD
2176,NEW LONDON
2177,MIDDLESEX
2178,NEW HAVEN
2179,WINDHAM
2180,HARTFORD
2181,LITCHFIELD
2182,MIDDLESEX
2184,WINDHAM
2185,FAIRFIELD
2186,FAIRFIELD
2187,HARTFORD
2188,NEW HAVEN
2189,FAIRFIELD
2190,HARTFORD
2191,HARTFORD
2192,HARTFORD
2195,FAIRFIELD
2196,NEW LONDON
2197,FAIRFIELD
2198,HARTFORD
2199,LITCHFIELD
2200,LITCHFIELD
2201,FAIRFIELD
2202,TOLLAND
2203,NEW HAVEN
2204,NEW HAVEN
2205,NEW LONDON
2206,LITCHFIELD
2207,HARTFORD
2208,NEW HAVEN
2209,FAIRFIELD
2210,FAIRFIELD
2211,HARTFORD
2212,FAIRFIELD
2213,LITCHFIELD
2214,WINDHAM
2215,HARTFORD
2216,HARTFORD
2217,NEW HAVEN
2218,NEW HAVEN
2220,TOLLAND
2222,FAIRFIELD
2223,HARTFORD
2224,WINDHAM
2226,FAIRFIELD
2227,NEW HAVEN
2229,HARTFORD
2237,NEW LONDON
2238,NEW LONDON
2239,UNMAPPED COUNTY
2240,NOT SPECIFIED
2241,NOT SPECIFIED
22570,NOT SPECIFIED
26058,NOT SPECIFIED
26203,NEW LONDON
33677,NEW HAVEN
