agency_id,county_name
4274,ADAIR
4275,ADAMS
4276,ALLAMAKEE
4277,ALLAMAKEE
4278,APPANOOSE
4279,APPANOOSE
4281,AUDUBON
4282,BENTON
4283,BENTON
4284,BENTON
4285,BLACK HAWK
4286,BLACK HAWK
4287,BLACK HAWK
4288,BLACK HAWK
4289,BLACK HAWK
4294,BREMER
4295,BREMER
4296,BUCHANAN
4297,BUCHANAN
4298,BUENA VISTA
4299,BUENA VISTA
4300,BUTLER
4302,CARROLL
4303,CARROLL
4304,CASS
4305,CASS
4306,CEDAR
4307,CEDAR
4308,"CEDAR, JOHNSON"
4309,CERRO GORDO
4310,CERRO GORDO
4311,CERRO GORDO
4312,CHEROKEE
4313,CHEROKEE
4315,CHICKASAW
4317,CLARKE
4318,CLARKE
4319,CLAY
4320,CLAY
4323,CLINTON
4324,CLINTON
4325,CLINTON
4326,CLINTON
4327,CRAWFORD
4328,CRAWFORD
4329,DALLAS
4331,DALLAS
4332,DALLAS
4333,DAVIS
4334,DAVIS
4336,DECATUR
4338,DELAWARE
4339,DELAWARE
4340,DES MOINES
4341,DES MOINES
4342,DES MOINES
4344,DICKINSON
4345,DUBUQUE
4346,DUBUQUE
4347,"DELAWARE, DUBUQUE"
4348,EMMET
4349,EMMET
4350,FAYETTE
4351,FAYETTE
4354,FLOYD
4355,FLOYD
4358,FREMONT
4361,GRUNDY
4362,GRUNDY
4365,HAMILTON
4366,HANCOCK
4368,HARDIN
4369,HARDIN
4371,HARRISON
4373,HENRY
4374,HENRY
4376,HOWARD
4378,HUMBOLDT
4380,IDA
4381,IOWA
4382,IOWA
4383,IOWA
4384,JACKSON
4385,"CLINTON, JACKSON"
4386,JASPER
4387,JASPER
4389,JASPER
4390,JEFFERSON
4391,JEFFERSON
4392,JOHNSON
4393,JOHNSON
4394,JOHNSON
4395,JOHNSON
4396,JOHNSON
4397,JONES
4399,JONES
4400,KEOKUK
4401,KOSSUTH
4402,KOSSUTH
4403,LEE
4404,LEE
4405,LEE
4407,LINN
4408,LINN
4409,LINN
4410,LINN
4412,LINN
4416,LOUISA
4417,LUCAS
4419,LYON
4423,MAHASKA
4424,MAHASKA
4425,MARION
4427,MARION
4430,MARSHALL
4432,MILLS
4433,MILLS
4434,MITCHELL
4435,MITCHELL
4437,MONONA
4439,MONROE
4440,MONROE
4442,MONTGOMERY
4443,MUSCATINE
4444,MUSCATINE
4447,O'BRIEN
4448,"O'BRIEN, SIOUX"
4449,OSCEOLA
4452,PAGE
4453,PAGE
4454,PALO ALTO
4455,PALO ALTO
4456,PLYMOUTH
4457,PLYMOUTH
4458,POCAHONTAS
4459,POLK
4460,POLK
4461,"DALLAS, POLK"
4462,"POLK, WARREN"
4463,"DALLAS, POLK"
4464,"DALLAS, MADISON, POLK, WARREN"
4465,POLK
4466,POLK
4467,POLK
4468,POLK
4469,POLK
4470,POTTAWATTAMIE
4471,POTTAWATTAMIE
4472,POTTAWATTAMIE
4473,POWESHIEK
4474,POWESHIEK
4475,RINGGOLD
4476,SAC
4477,SAC
4478,SCOTT
4479,SCOTT
4480,SCOTT
4481,SCOTT
4482,SCOTT
4483,SHELBY
4484,SHELBY
4485,SIOUX
4488,SIOUX
4489,SIOUX
4490,STORY
4491,STORY
4493,STORY
4494,STORY
4495,TAMA
4501,UNION
4502,UNION
4503,VAN BUREN
4504,WAPELLO
4505,WAPELLO
4506,WARREN
4507,WARREN
4508,WARREN
4509,"POLK, WARREN"
4510,WASHINGTON
4511,WASHINGTON
4512,WAYNE
4513,WEBSTER
4514,WEBSTER
4518,WINNESHIEK
4519,WINNESHIEK
4520,WOODBURY
4521,"PLYMOUTH, WOODBURY"
4523,WORTH
4524,WRIGHT
4527,WRIGHT
22357,"MUSCATINE, SCOTT"
23106,SCOTT
23138,SCOTT
23246,KEOKUK
26771,ALLAMAKEE
26772,"ALLAMAKEE, CLAYTON"
26791,CEDAR
27414,WAPELLO
29554,DUBUQUE
31854,STORY
31855,TAMA
31995,"CEDAR, MUSCATINE, SCOTT"
33726,LINN
33728,JACKSON
33730,JACKSON
33734,CLAYTON
