agency_id,county_name
4530,ADA
4531,ADA
4532,ADA
4533,ADA
4535,ADAMS
4537,BANNOCK
4538,BANNOCK
4539,"BANNOCK, POWER"
4540,NOT SPECIFIED
4542,BEAR LAKE
4543,BEAR LAKE
4544,BENEWAH
4546,BINGHAM
4547,BINGHAM
4548,BINGHAM
4550,BINGHAM
4551,BLAINE
4552,BLAINE
4553,BLAINE
4554,BLAINE
4555,BLAINE
4556,BOISE
4558,BONNER
4559,BONNER
4560,BONNER
4561,BONNER
4562,BONNEVILLE
4564,BONNEVILLE
4566,BOUNDARY
4567,BOUNDARY
4568,BUTTE
4570,CAMAS
4571,CANYON
4572,CANYON
4573,CANYON
4574,CANYON
4575,CANYON
4576,CARIBOU
4577,CARIBOU
4579,CASSIA
4581,CLARK
4582,CLEARWATER
4583,CLEARWATER
4585,CUSTER
4587,CUSTER
4588,ELMORE
4590,ELMORE
4591,FRANKLIN
4592,FRANKLIN
4593,FREMONT
4594,FREMONT
4595,GEM
4596,GEM
4597,GOODING
4598,GOODING
4599,GOODING
4600,GOODING
4601,IDAHO
4602,IDAHO
4603,IDAHO
4604,JEFFERSON
4605,JEFFERSON
4606,JEROME
4607,JEROME
4608,KOOTENAI
4609,KOOTENAI
4610,KOOTENAI
4612,KOOTENAI
4614,LATAH
4615,LATAH
4617,LEMHI
4618,LEMHI
4619,LEWIS
4621,LINCOLN
4623,MADISON
4624,MADISON
4625,MINIDOKA
4626,MINIDOKA
4627,MINIDOKA
4628,NEZ PERCE
4630,NEZ PERCE
4631,ONEIDA
4633,OWYHEE
4634,OWYHEE
4635,PAYETTE
4636,PAYETTE
4638,PAYETTE
4639,POWER
4640,POWER
4641,SHOSHONE
4642,SHOSHONE
4644,SHOSHONE
4645,SHOSHONE
4647,TETON
4649,TWIN FALLS
4650,TWIN FALLS
4651,TWIN FALLS
4652,TWIN FALLS
4653,TWIN FALLS
4654,VALLEY
4655,VALLEY
4657,WASHINGTON
4658,WASHINGTON
4660,NOT SPECIFIED
4668,NOT SPECIFIED
25325,NOT SPECIFIED
26652,CANYON
28714,FREMONT
29594,NOT SPECIFIED
30535,NOT SPECIFIED
