agency_id,county_name
4677,ADAMS
4692,BUREAU
4693,BUREAU
4707,CASS
4711,CHAMPAIGN
4712,CHAMPAIGN
4714,CHAMPAIGN
4715,CHAMPAIGN
4716,CHAMPAIGN
4717,CHAMPAIGN
4718,CHAMPAIGN
4725,CHAMPAIGN
4727,CHRISTIAN
4730,CHRISTIAN
4732,CHRISTIAN
4740,CLINTON
4742,CLINTON
4743,CLINTON
4745,CLINTON
4746,CLINTON
4748,CLINTON
4757,COOK
4758,COOK
4759,"COOK, LAKE"
4760,"COOK, KANE, LAKE, MCHENRY"
4763,COOK
4766,COOK
4770,"COOK, LAKE"
4774,COOK
4776,COOK
4777,COOK
4783,COOK
4784,COOK
4787,COOK
4788,COOK
4792,COOK
4793,COOK
4794,COOK
4795,COOK
4798,COOK
4799,COOK
4800,COOK
4801,COOK
4802,COOK
4803,COOK
4805,COOK
4806,COOK
4807,COOK
4810,COOK
4811,COOK
4812,COOK
4819,COOK
4820,COOK
4821,COOK
4822,COOK
4828,COOK
4830,COOK
4832,COOK
4834,COOK
4835,COOK
4836,COOK
4838,COOK
4842,"COOK, WILL"
4844,"COOK, WILL"
4854,COOK
4856,COOK
4864,COOK
4865,COOK
4868,COOK
4869,COOK
4870,COOK
4871,COOK
4874,COOK
4881,COOK
4882,COOK
4886,COOK
4887,COOK
4888,COOK
4889,COOK
4892,"COOK, WILL"
4894,COOK
4895,COOK
4899,COOK
4900,COOK
4903,COOK
4904,COOK
4905,COOK
4906,COOK
4908,COOK
4910,COOK
4911,COOK
4928,DEKALB
4929,DEKALB
4931,"DEKALB, KENDALL"
4933,DEKALB
4935,DEKALB
4936,DEKALB
4937,DEKALB
4939,DEKALB
4942,DEWITT
4945,"DOUGLAS, MOULTRIE"
4947,DOUGLAS
4948,DOUGLAS
4964,"DUPAGE, WILL"
4967,DUPAGE
4968,"DUPAGE, KANE"
4972,DUPAGE
4989,EDGAR
4994,EFFINGHAM
4998,FAYETTE
5026,FULTON
5029,FULTON
5037,GREENE
5041,"GRUNDY, WILL"
5043,GRUNDY
5059,HENRY
5060,"BUREAU, HENRY"
5063,HENRY
5065,HENRY
5068,HENRY
5070,IROQUOIS
5071,IROQUOIS
5079,JACKSON
5082,JACKSON
5088,JEFFERSON
5091,JERSEY
5093,JERSEY
5107,KANE
5110,KANE
5112,KANE
5113,KANE
5114,"KANE, KENDALL"
5116,KANE
5119,"DUPAGE, KANE"
5122,KANE
5123,"DEKALB, KANE"
5124,KANE
5126,KANE
5130,KANE
5145,KENDALL
5146,KENDALL
5147,KENDALL
5148,KENDALL
5159,LAKE
5160,"COOK, LAKE"
5161,"LAKE, MCHENRY"
5162,LAKE
5164,LAKE
5167,LAKE
5169,LAKE
5171,LAKE
5177,LAKE
5187,LAKE
5191,LAKE
5199,LA SALLE
5204,LA SALLE
5207,"LA SALLE, LIVINGSTON"
5209,LA SALLE
5224,"GRUNDY, LIVINGSTON"
5226,LIVINGSTON
5228,LOGAN
5230,LOGAN
5231,LOGAN
5235,MCDONOUGH
5241,"KANE, MCHENRY"
5244,"LAKE, MCHENRY"
5245,MCHENRY
5248,MCHENRY
5251,MCHENRY
5253,MCHENRY
5254,MCHENRY
5255,"LAKE, MCHENRY"
5266,MCHENRY
5267,MCLEAN
5268,MCLEAN
5269,MCLEAN
5270,MCLEAN
5271,MCLEAN
5274,MCLEAN
5279,MCLEAN
5281,MACON
5283,MACON
5285,MACON
5296,MACOUPIN
5301,"MACOUPIN, SANGAMON"
5304,MADISON
5305,MADISON
5306,MADISON
5309,MADISON
5310,MADISON
5312,MADISON
5315,MADISON
5316,MADISON
5317,MADISON
5324,MADISON
5333,MARION
5336,MARION
5339,MARSHALL
5340,MARSHALL
5341,MARSHALL
5342,MARSHALL
5343,MASON
5344,MASON
5345,MASON
5346,MASON
5349,MASSAC
5350,MASSAC
5356,MERCER
5357,MONROE
5360,MONROE
5374,MORGAN
5379,MOULTRIE
5380,MOULTRIE
5386,OGLE
5418,PIKE
5423,PULASKI
5426,PUTNAM
5433,RANDOLPH
5435,RANDOLPH
5438,ROCK ISLAND
5441,"HENRY, ROCK ISLAND"
5442,ROCK ISLAND
5443,ROCK ISLAND
5444,ROCK ISLAND
5446,ROCK ISLAND
5447,ROCK ISLAND
5455,ST CLAIR
5457,ST CLAIR
5463,ST CLAIR
5466,ST CLAIR
5467,ST CLAIR
5469,ST CLAIR
5470,ST CLAIR
5476,ST CLAIR
5477,ST CLAIR
5478,ST CLAIR
5485,ST CLAIR
5490,SALINE
5491,SANGAMON
5493,SANGAMON
5494,SANGAMON
5495,SANGAMON
5499,SANGAMON
5506,SANGAMON
5518,SANGAMON
5531,SHELBY
5532,SHELBY
5537,STEPHENSON
5538,STEPHENSON
5541,TAZEWELL
5544,TAZEWELL
5545,TAZEWELL
5547,TAZEWELL
5548,TAZEWELL
5550,TAZEWELL
5552,TAZEWELL
5556,TAZEWELL
5557,TAZEWELL
5566,VERMILION
5568,VERMILION
5569,VERMILION
5570,VERMILION
5572,VERMILION
5573,VERMILION
5576,VERMILION
5577,VERMILION
5578,VERMILION
5579,VERMILION
5580,VERMILION
5581,VERMILION
5582,VERMILION
5583,VERMILION
5599,"EDWARDS, WHITE"
5605,WHITESIDE
5607,WHITESIDE
5608,WHITESIDE
5615,WILL
5616,WILL
5617,"DUPAGE, WILL"
5618,"GRUNDY, WILL"
5619,WILL
5620,WILL
5621,WILL
5622,"KENDALL, WILL"
5623,WILL
5624,WILL
5625,WILL
5626,"KENDALL, WILL"
5628,WILL
5629,WILL
5630,WILL
5631,WILL
5632,WILL
5633,"GRUNDY, WILL"
5634,"COOK, WILL"
5635,WILL
5636,WILL
5642,WILL
5643,WILL
5644,WILL
5655,WINNEBAGO
5656,"BOONE, WINNEBAGO"
5657,"BOONE, WINNEBAGO"
5658,WINNEBAGO
5659,"OGLE, WINNEBAGO"
5660,WINNEBAGO
5661,WINNEBAGO
5662,WINNEBAGO
5663,WINNEBAGO
5664,WINNEBAGO
5666,WINNEBAGO
5667,WINNEBAGO
5671,WINNEBAGO
5676,WOODFORD
5684,COOK
23079,COOK
23118,MCLEAN
23144,MCLEAN
23152,WILL
23158,MADISON
23183,"GRUNDY, WILL"
23207,"GRUNDY, WILL"
23231,COOK
25326,LA SALLE
25327,MACON
25699,ADAMS
30654,MCHENRY
33495,PUTNAM
