agency_id,county_name
5688,ALLEN
5689,ALLEN
5690,ALLEN
5691,BARTHOLOMEW
5692,BARTHOLOMEW
5696,BLACKFORD
5697,BOONE
5698,BOONE
5699,BOONE
5700,BOONE
5705,CASS
5706,CLARK
5707,CLARK
5708,CLARK
5709,CLARK
5710,CLARK
5713,CLINTON
5714,CLINTON
5717,DAVIESS
5720,DEARBORN
5725,DEKALB
5728,DELAWARE
5729,DELAWARE
5731,DUBOIS
5732,DUBOIS
5733,DUBOIS
5734,ELKHART
5735,ELKHART
5736,ELKHART
5737,"ELKHART, KOSCIUSKO"
5740,FLOYD
5741,FLOYD
5742,FLOYD
5748,FRANKLIN
5749,FULTON
5751,GIBSON
5758,GREENE
5760,GREENE
5761,HAMILTON
5762,HAMILTON
5763,HAMILTON
5764,HAMILTON
5765,HAMILTON
5766,HANCOCK
5767,HANCOCK
5768,HARRISON
5770,HENDRICKS
5771,HENDRICKS
5772,HENDRICKS
5773,HENDRICKS
5774,HENDRICKS
5775,HENRY
5777,HOWARD
5778,HOWARD
5781,HUNTINGTON
5782,JACKSON
5784,JACKSON
5792,JENNINGS
5793,JENNINGS
5794,JOHNSON
5795,"BARTHOLOMEW, JOHNSON, SHELBY"
5796,JOHNSON
5797,JOHNSON
5798,JOHNSON
5800,JOHNSON
5803,KNOX
5804,KOSCIUSKO
5805,KOSCIUSKO
5806,KOSCIUSKO
5808,LAKE
5809,LAKE
5811,LAKE
5814,LAKE
5815,LAKE
5816,LAKE
5817,LAKE
5818,LAKE
5819,LAKE
5820,LAKE
5821,LAKE
5822,LAKE
5823,LAKE
5824,LAKE
5826,LAKE
5827,LA PORTE
5828,LA PORTE
5829,LA PORTE
5833,LA PORTE
5837,LAWRENCE
5839,MADISON
5841,MADISON
5845,MARION
5846,MARION
5847,MARION
5849,MARION
5850,"HANCOCK, MARION"
5851,MARION
5857,MARTIN
5858,MIAMI
5859,MIAMI
5860,MONROE
5861,MONROE
5862,MONROE
5864,MONTGOMERY
5870,NOBLE
5871,NOBLE
5873,NOBLE
5886,PORTER
5887,PORTER
5888,PORTER
5889,PORTER
5891,PORTER
5894,POSEY
5895,POSEY
5896,PULASKI
5897,PUTNAM
5905,"FRANKLIN, RIPLEY"
5908,ST JOSEPH
5909,ST JOSEPH
5910,ST JOSEPH
5911,ST JOSEPH
5913,ST JOSEPH
5914,ST JOSEPH
5920,SHELBY
5922,STARKE
5923,STARKE
5925,STEUBEN
5926,STEUBEN
5930,TIPPECANOE
5932,TIPPECANOE
5938,VANDERBURGH
5939,VANDERBURGH
5942,VIGO
5943,VIGO
5945,VIGO
5952,WASHINGTON
5958,WELLS
5959,WELLS
5963,WHITLEY
6057,NOT SPECIFIED
6058,MARION
6059,NOT SPECIFIED
22626,LAKE
22628,ALLEN
22631,VANDERBURGH
22632,RIPLEY
23147,TIPPECANOE
25954,SULLIVAN
25993,NOT SPECIFIED
28274,HANCOCK
28417,HOWARD
28595,WAYNE
28854,"HUNTINGTON, WELLS"
29195,CLAY
29197,PORTER
29198,KOSCIUSKO
29215,"HANCOCK, HENRY"
29216,KOSCIUSKO
29217,KOSCIUSKO
29234,ST JOSEPH
29694,NOT SPECIFIED
29714,VIGO
29715,KOSCIUSKO
29716,LAGRANGE
29717,CRAWFORD
30435,NOT SPECIFIED
30454,DEKALB
30536,MARION
30574,MARION
30674,HENDRICKS
30675,HENDRICKS
30677,HENDRICKS
30678,HENDRICKS
31454,SWITZERLAND
31455,JASPER
31456,CARROLL
31457,JOHNSON
31620,LAKE
31621,HANCOCK
31622,HAMILTON
31623,HANCOCK
31774,HAMILTON
31775,HAMILTON
32255,JOHNSON
32499,SPENCER
32500,STEUBEN
32501,MARSHALL
32810,SPENCER
33304,MARION
33464,STEUBEN
33466,ALLEN
33468,CLARK
33470,DELAWARE
33472,ELKHART
33474,MADISON
33640,BARTHOLOMEW
33642,VANDERBURGH
