agency_id,county_name
6060,ALLEN
6061,ALLEN
6062,ALLEN
6064,ALLEN
6065,ANDERSON
6066,ANDERSON
6067,ANDERSON
6070,ATCHISON
6071,ATCHISON
6072,BARBER
6074,BARBER
6075,BARTON
6076,BARTON
6077,BARTON
6078,BARTON
6079,BARTON
6081,BOURBON
6082,BOURBON
6083,BROWN
6084,BROWN
6085,BROWN
6086,BUTLER
6087,BUTLER
6088,BUTLER
6091,BUTLER
6092,BUTLER
6093,BUTLER
6094,BUTLER
6097,CHAUTAUQUA
6098,CHAUTAUQUA
6099,CHAUTAUQUA
6100,CHEROKEE
6101,CHEROKEE
6102,CHEROKEE
6103,CHEROKEE
6106,CHEYENNE
6109,CLARK
6110,CLAY
6111,CLAY
6112,CLAY
6114,CLOUD
6115,CLOUD
6119,COFFEY
6120,COFFEY
6121,COFFEY
6122,COFFEY
6123,COMANCHE
6124,COMANCHE
6125,COMANCHE
6126,COWLEY
6127,COWLEY
6128,COWLEY
6131,CRAWFORD
6132,CRAWFORD
6133,CRAWFORD
6134,CRAWFORD
6135,CRAWFORD
6136,CRAWFORD
6138,CRAWFORD
6140,CRAWFORD
6141,DECATUR
6142,DECATUR
6143,DICKINSON
6144,DICKINSON
6146,DICKINSON
6150,DONIPHAN
6152,DONIPHAN
6153,DONIPHAN
6154,DONIPHAN
6155,DOUGLAS
6157,DOUGLAS
6158,DOUGLAS
6159,DOUGLAS
6160,EDWARDS
6165,ELLIS
6166,ELLIS
6167,ELLIS
6169,ELLIS
6170,ELLSWORTH
6171,ELLSWORTH
6175,FINNEY
6176,FINNEY
6178,FINNEY
6179,FORD
6180,FORD
6181,FORD
6182,FORD
6183,FRANKLIN
6184,FRANKLIN
6185,FRANKLIN
6188,FRANKLIN
6189,GEARY
6190,GEARY
6191,GEARY
6192,GOVE
6194,GRAHAM
6195,GRAHAM
6196,GRANT
6197,GRANT
6198,GRAY
6201,GREELEY
6203,GREENWOOD
6206,HAMILTON
6207,HARPER
6208,HARPER
6209,HARPER
6211,HARVEY
6212,HARVEY
6213,HARVEY
6214,HARVEY
6217,HARVEY
6219,HASKELL
6222,HODGEMAN
6223,JACKSON
6224,JACKSON
6225,JACKSON
6228,JEFFERSON
6230,JEFFERSON
6231,JEFFERSON
6232,JEFFERSON
6233,JEFFERSON
6234,JEFFERSON
6235,JEFFERSON
6236,JEFFERSON
6238,JEWELL
6239,JOHNSON
6240,JOHNSON
6241,JOHNSON
6242,JOHNSON
6243,JOHNSON
6244,JOHNSON
6245,JOHNSON
6246,JOHNSON
6247,JOHNSON
6248,JOHNSON
6249,JOHNSON
6250,JOHNSON
6251,JOHNSON
6252,JOHNSON
6253,"JOHNSON, MIAMI"
6255,JOHNSON
6256,JOHNSON
6257,JOHNSON
6258,"JOHNSON, WYANDOTTE"
6259,JOHNSON
6260,JOHNSON
6261,KEARNY
6262,KINGMAN
6263,KINGMAN
6265,KIOWA
6266,LABETTE
6267,LABETTE
6268,LABETTE
6273,LANE
6274,LEAVENWORTH
6275,LEAVENWORTH
6276,LEAVENWORTH
6277,LEAVENWORTH
6278,LEAVENWORTH
6279,LINCOLN
6280,LINN
6282,LINN
6283,LINN
6286,LOGAN
6287,"LOGAN, THOMAS"
6288,LYON
6289,LYON
6290,LYON
6291,LYON
6292,MCPHERSON
6293,MCPHERSON
6294,MCPHERSON
6299,MCPHERSON
6300,MARION
6301,MARION
6302,MARION
6303,MARION
6307,MARSHALL
6308,MARSHALL
6309,MARSHALL
6310,MARSHALL
6312,MEADE
6313,MEADE
6314,MIAMI
6315,MIAMI
6316,MIAMI
6317,MIAMI
6318,MITCHELL
6319,MITCHELL
6321,MONTGOMERY
6322,MONTGOMERY
6323,MONTGOMERY
6324,MONTGOMERY
6325,MONTGOMERY
6326,MORRIS
6327,MORRIS
6329,MORTON
6330,MORTON
6332,NEMAHA
6333,"BROWN, NEMAHA"
6334,NEMAHA
6335,NEOSHO
6336,NEOSHO
6338,NESS
