agency_id,county_name
6500,ADAIR
6501,ADAIR
6504,ALLEN
6505,ALLEN
6507,ANDERSON
6508,ANDERSON
6511,BALLARD
6514,BALLARD
6516,BARREN
6517,BARREN
6518,BARREN
6520,BARREN
6522,BATH
6523,BATH
6525,BELL
6526,BELL
6527,BELL
6529,BOONE
6531,BOONE
6533,BOONE
6535,BOURBON
6536,BOURBON
6537,"BOURBON, NICHOLAS"
6540,BOYD
6541,BOYD
6542,BOYD
6544,BOYD
6547,BOYLE
6548,BOYLE
6549,"BOYLE, LINCOLN"
6550,BOYLE
6552,BRACKEN
6553,BRACKEN
6554,BRACKEN
6556,BREATHITT
6557,BREATHITT
6559,BRECKINRIDGE
6560,BRECKINRIDGE
6561,BRECKINRIDGE
6562,BRECKINRIDGE
6564,BULLITT
6565,BULLITT
6566,BULLITT
6567,BULLITT
6569,BULLITT
6570,BULLITT
6574,BUTLER
6575,BUTLER
6577,CALDWELL
6578,CALDWELL
6580,CALLOWAY
6581,CALLOWAY
6582,CALLOWAY
6584,CAMPBELL
6585,CAMPBELL
6586,CAMPBELL
6587,CAMPBELL
6588,CAMPBELL
6589,CAMPBELL
6590,CAMPBELL
6591,CAMPBELL
6592,CAMPBELL
6593,CAMPBELL
6595,CAMPBELL
6598,CAMPBELL
6601,CARLISLE
6602,CARLISLE
6604,CARROLL
6605,CARROLL
6607,CARTER
6608,CARTER
6609,CARTER
6612,CASEY
6613,CASEY
6615,CHRISTIAN
6616,CHRISTIAN
6618,CHRISTIAN
6620,CHRISTIAN
6621,CHRISTIAN
6623,CLARK
6624,CLARK
6625,CLARK
6627,CLAY
6628,CLAY
6631,CLINTON
6632,CLINTON
6634,CRITTENDEN
6635,CRITTENDEN
6637,CUMBERLAND
6638,CUMBERLAND
6640,DAVIESS
6641,DAVIESS
6643,EDMONSON
6644,EDMONSON
6646,ELLIOTT
6649,ESTILL
6650,ESTILL
6651,ESTILL
6653,FAYETTE
6654,FAYETTE
6655,FAYETTE
6656,FAYETTE
6657,FAYETTE
6658,FAYETTE
6660,FLEMING
6661,FLEMING
6663,FLOYD
6664,FLOYD
6665,FLOYD
6666,FLOYD
6667,FLOYD
6671,FRANKLIN
6672,FRANKLIN
6673,FRANKLIN
6674,FRANKLIN
6675,FRANKLIN
6678,FRANKLIN
6679,FRANKLIN
6683,FULTON
6684,FULTON
6685,FULTON
6687,GALLATIN
6688,GALLATIN
6692,GARRARD
6693,GARRARD
6696,GRANT
6697,GRANT
6698,GRANT
6702,GRAVES
6703,GRAVES
6705,GRAVES
6707,GRAYSON
6708,GRAYSON
6710,GRAYSON
6712,GREEN
6713,GREEN
6715,GREENUP
6716,GREENUP
6717,GREENUP
6718,GREENUP
6719,GREENUP
6720,GREENUP
6721,GREENUP
6723,GREENUP
6725,HANCOCK
6726,HANCOCK
6727,HANCOCK
6729,HARDIN
6730,HARDIN
6731,HARDIN
6732,HARDIN
6733,HARDIN
6736,HARDIN
6738,HARLAN
6739,HARLAN
6740,HARLAN
6741,HARLAN
6743,HARLAN
6747,HARRISON
6748,HARRISON
6750,HART
6751,HART
6752,HART
6754,HENDERSON
6755,HENDERSON
6758,HENRY
6760,HENRY
6764,HICKMAN
6765,HICKMAN
6767,HOPKINS
6768,HOPKINS
6769,HOPKINS
6774,JACKSON
6775,JACKSON
6778,JEFFERSON
6781,JEFFERSON
6782,JEFFERSON
6783,JEFFERSON
6784,JEFFERSON
6785,JEFFERSON
6788,JEFFERSON
6791,JEFFERSON
6792,JEFFERSON
6794,JEFFERSON
6796,JEFFERSON
6797,JEFFERSON
6798,JEFFERSON
6799,"JEFFERSON, OLDHAM"
6802,JEFFERSON
6803,JEFFERSON
6805,JEFFERSON
6806,JEFFERSON
6807,JEFFERSON
6809,JESSAMINE
6810,JESSAMINE
6811,JESSAMINE
6815,JOHNSON
6816,JOHNSON
6818,KENTON
6819,KENTON
6820,KENTON
6821,KENTON
6822,KENTON
6823,KENTON
6824,KENTON
6825,KENTON
6828,KENTON
6829,KENTON
6830,KENTON
6831,KENTON
6833,KENTON
6835,KENTON
6839,KENTON
6843,KNOTT
6845,KNOTT
6847,KNOX
6848,KNOX
6850,LARUE
6851,LARUE
6853,LAUREL
6854,LAUREL
6858,LAWRENCE
6859,LAWRENCE
6861,LEE
6862,LEE
6864,LESLIE
6865,LESLIE
6867,LETCHER
6868,LETCHER
6869,LETCHER
6870,LETCHER
6873,LEWIS
6874,LEWIS
6876,LINCOLN
6877,LINCOLN
6878,LINCOLN
6879,LINCOLN
6881,LIVINGSTON
6884,LOGAN
6885,LOGAN
6886,LOGAN
6887,LOGAN
6888,LOGAN
6889,LOGAN
6891,LYON
6892,LYON
6895,MCCRACKEN
6896,MCCRACKEN
6899,MCCRACKEN
6901,MCCREARY
6906,MCLEAN
6911,MADISON
6912,MADISON
6913,MADISON
6914,MADISON
6917,MAGOFFIN
6918,MAGOFFIN
6920,MARION
6921,MARION
6925,MARSHALL
6926,MARSHALL
6927,MARSHALL
6930,MARTIN
6933,MASON
6934,MASON
6938,MEADE
6939,MEADE
6940,MEADE
6942,MENIFEE
6944,MERCER
6945,MERCER
6946,MERCER
6948,METCALFE
6949,METCALFE
6951,MONROE
6952,MONROE
6954,MONROE
6956,MONTGOMERY
6957,MONTGOMERY
6958,MONTGOMERY
6960,MORGAN
6961,MORGAN
6963,MUHLENBERG
6964,MUHLENBERG
6965,MUHLENBERG
6969,NELSON
6970,NELSON
6971,NELSON
6972,NELSON
6975,NICHOLAS
6976,NICHOLAS
6979,OHIO
6980,OHIO
6981,OHIO
6982,OHIO
6985,OLDHAM
6986,OLDHAM
6987,OLDHAM
6988,OLDHAM
6990,OWEN
6991,OWEN
6994,OWSLEY
6995,OWSLEY
6997,PENDLETON
6998,PENDLETON
7001,PERRY
7002,PERRY
7006,PIKE
7007,PIKE
7008,PIKE
7010,PIKE
7013,POWELL
7014,POWELL
7015,POWELL
7017,PULASKI
