agency_id,county_name
7136,ACADIA
7137,ACADIA
7138,ACADIA
7139,ACADIA
7146,ASCENSION
7148,ASCENSION
7154,AVOYELLES
7158,BEAUREGARD
7159,"BEAUREGARD, VERNON"
7161,BIENVILLE
7165,BOSSIER
7166,BOSSIER
7168,BOSSIER
7169,BOSSIER
7171,CADDO
7175,CADDO
7176,CADDO
7177,CALCASIEU
7179,CALCASIEU
7180,CALCASIEU
7181,CALCASIEU
7182,CALCASIEU
7184,CALCASIEU
7185,CALCASIEU
7186,CALDWELL
7188,CATAHOULA
7192,CLAIBORNE
7195,CONCORDIA
7197,CONCORDIA
7199,DE SOTO
7200,DE SOTO
7202,EAST BATON ROUGE
7203,EAST BATON ROUGE
7204,EAST BATON ROUGE
7205,EAST BATON ROUGE
7206,EAST BATON ROUGE
7209,EAST CARROLL
7212,EAST FELICIANA
7214,EAST FELICIANA
7215,EAST FELICIANA
7217,"ACADIA, EVANGELINE"
7220,FRANKLIN
7224,GRANT
7232,IBERVILLE
7238,IBERVILLE
7239,JACKSON
7242,JEFFERSON
7243,JEFFERSON
7244,JEFFERSON
7245,JEFFERSON
7246,JEFFERSON
7250,JEFFERSON DAVIS
7253,LAFAYETTE
7254,"LAFAYETTE, ST MARTIN"
7261,LAFOURCHE
7262,LAFOURCHE
7264,LAFOURCHE
7269,LINCOLN
7271,LINCOLN
7274,LINCOLN
7275,LIVINGSTON
7277,LIVINGSTON
7281,MADISON
7282,MADISON
7283,MOREHOUSE
7284,MOREHOUSE
7293,ORLEANS
7294,ORLEANS
7295,ORLEANS
7298,OUACHITA
7299,OUACHITA
7300,OUACHITA
7302,OUACHITA
7304,OUACHITA
7305,PLAQUEMINES
7306,POINTE COUPEE
7308,RAPIDES
7309,RAPIDES
7319,RICHLAND
7321,RICHLAND
7327,SABINE
7328,ST BERNARD
7329,ST CHARLES
7330,ST HELENA
7331,ST JAMES
7332,ST JAMES
7333,ST JAMES
7334,ST JOHN THE BAPTIST
7335,ST LANDRY
7337,ST LANDRY
7338,"ST LANDRY, ST MARTIN"
7342,ST LANDRY
7344,ST LANDRY
7345,ST MARTIN
7349,ST MARY
7350,ST MARY
7352,ST MARY
7353,ST MARY
7355,NOT SPECIFIED
7356,ST TAMMANY
7358,ST TAMMANY
7360,ST TAMMANY
7363,TANGIPAHOA
7364,TANGIPAHOA
7366,TANGIPAHOA
7369,TANGIPAHOA
7370,TANGIPAHOA
7371,TENSAS
7375,TERREBONNE
7376,TERREBONNE
7379,UNION
7380,UNION
7381,VERMILION
7382,VERMILION
7385,VERMILION
7391,WASHINGTON
7392,WASHINGTON
7394,WEBSTER
7396,WEBSTER
7398,WEBSTER
7399,WEST BATON ROUGE
7400,WEST BATON ROUGE
7402,WEST BATON ROUGE
7403,WEST CARROLL
7405,WEST CARROLL
7406,WEST FELICIANA
7408,WINN
7410,NOT SPECIFIED
7411,NOT SPECIFIED
25274,ST HELENA
25336,CADDO
25420,WEBSTER
29014,BOSSIER
32894,AVOYELLES
32914,WEBSTER
32974,BOSSIER
