agency_id,county_name
7415,BARNSTABLE
7416,BARNSTABLE
7417,BARNSTABLE
7418,BARNSTABLE
7419,BARNSTABLE
7420,BARNSTABLE
7421,BARNSTABLE
7422,BARNSTABLE
7423,BARNSTABLE
7424,BARNSTABLE
7425,BARNSTABLE
7426,BARNSTABLE
7427,BARNSTABLE
7428,BARNSTABLE
7429,BARNSTABLE
7434,BERKSHIRE
7435,BERKSHIRE
7436,BERKSHIRE
7438,BERKSHIRE
7440,BERKSHIRE
7441,BERKSHIRE
7442,BERKSHIRE
7443,BERKSHIRE
7444,BERKSHIRE
7445,BERKSHIRE
7446,BERKSHIRE
7449,BERKSHIRE
7453,BERKSHIRE
7455,BERKSHIRE
7456,BERKSHIRE
7462,BRISTOL
7463,BRISTOL
7464,BRISTOL
7465,BRISTOL
7467,BRISTOL
7468,BRISTOL
7469,BRISTOL
7470,BRISTOL
7471,BRISTOL
7472,BRISTOL
7473,BRISTOL
7474,BRISTOL
7475,BRISTOL
7476,BRISTOL
7477,BRISTOL
7478,BRISTOL
7479,BRISTOL
7480,BRISTOL
7481,BRISTOL
7482,BRISTOL
7483,BRISTOL
7488,DUKES
7489,DUKES
7490,DUKES
7491,DUKES
7492,DUKES
7493,DUKES
7498,ESSEX
7499,ESSEX
7500,ESSEX
7501,ESSEX
7502,ESSEX
7503,ESSEX
7504,ESSEX
7505,ESSEX
7506,ESSEX
7508,ESSEX
7509,ESSEX
7510,ESSEX
7511,ESSEX
7512,ESSEX
7513,ESSEX
7514,ESSEX
7515,ESSEX
7516,ESSEX
7517,ESSEX
7518,ESSEX
7519,ESSEX
7520,ESSEX
7521,ESSEX
7522,ESSEX
7523,ESSEX
7524,ESSEX
7525,ESSEX
7526,ESSEX
7527,ESSEX
7528,ESSEX
7529,ESSEX
7530,ESSEX
7531,ESSEX
7532,ESSEX
7534,ESSEX
7535,ESSEX
7540,FRANKLIN
7541,FRANKLIN
7545,FRANKLIN
7546,FRANKLIN
7547,FRANKLIN
7548,FRANKLIN
7550,FRANKLIN
7553,FRANKLIN
7555,FRANKLIN
7556,FRANKLIN
7558,FRANKLIN
7559,FRANKLIN
7560,FRANKLIN
7562,FRANKLIN
7567,HAMPDEN
7569,HAMPDEN
7570,HAMPDEN
7571,HAMPDEN
7572,HAMPDEN
7573,HAMPDEN
7574,HAMPDEN
7575,HAMPDEN
7576,HAMPDEN
7577,HAMPDEN
7578,HAMPDEN
7579,HAMPDEN
7580,HAMPDEN
7582,HAMPDEN
7583,HAMPDEN
7586,HAMPDEN
7587,HAMPDEN
7588,HAMPDEN
7589,HAMPDEN
7590,HAMPDEN
7591,HAMPDEN
7594,HAMPDEN
7599,HAMPSHIRE
7600,HAMPSHIRE
7601,HAMPSHIRE
7603,HAMPSHIRE
7604,HAMPSHIRE
7605,HAMPSHIRE
7606,HAMPSHIRE
7607,HAMPSHIRE
7609,HAMPSHIRE
7610,HAMPSHIRE
7611,HAMPSHIRE
7612,HAMPSHIRE
7613,HAMPSHIRE
7615,HAMPSHIRE
7616,HAMPSHIRE
7618,HAMPSHIRE
7619,HAMPSHIRE
7624,HAMPSHIRE
7630,MIDDLESEX
7631,MIDDLESEX
7632,MIDDLESEX
7633,MIDDLESEX
7634,MIDDLESEX
7635,MIDDLESEX
7636,MIDDLESEX
7637,MIDDLESEX
7638,MIDDLESEX
7639,MIDDLESEX
7640,MIDDLESEX
7641,MIDDLESEX
7642,MIDDLESEX
7643,MIDDLESEX
7644,MIDDLESEX
7645,MIDDLESEX
7646,MIDDLESEX
7647,MIDDLESEX
7648,MIDDLESEX
7649,MIDDLESEX
7650,MIDDLESEX
7651,MIDDLESEX
7652,MIDDLESEX
7653,MIDDLESEX
7654,MIDDLESEX
7655,MIDDLESEX
7656,MIDDLESEX
7657,MIDDLESEX
7658,MIDDLESEX
7659,MIDDLESEX
7660,MIDDLESEX
7661,MIDDLESEX
7662,MIDDLESEX
7663,MIDDLESEX
7664,MIDDLESEX
7665,MIDDLESEX
7666,MIDDLESEX
7667,MIDDLESEX
7668,MIDDLESEX
7669,MIDDLESEX
7670,MIDDLESEX
7671,MIDDLESEX
7672,MIDDLESEX
7673,MIDDLESEX
7674,MIDDLESEX
7675,MIDDLESEX
7676,MIDDLESEX
7677,MIDDLESEX
7678,MIDDLESEX
7679,MIDDLESEX
7680,MIDDLESEX
7681,MIDDLESEX
7682,MIDDLESEX
7683,MIDDLESEX
7686,MIDDLESEX
7687,MIDDLESEX
7688,MIDDLESEX
7690,MIDDLESEX
7691,MIDDLESEX
7695,MIDDLESEX
7702,NANTUCKET
7707,NORFOLK
7708,NORFOLK
7709,NORFOLK
7710,NORFOLK
7711,NORFOLK
7712,NORFOLK
7713,NORFOLK
7714,NORFOLK
7715,NORFOLK
7716,NORFOLK
7717,NORFOLK
7718,NORFOLK
7719,NORFOLK
7720,NORFOLK
7721,NORFOLK
7722,NORFOLK
7723,NORFOLK
7724,NORFOLK
7725,NORFOLK
7726,NORFOLK
7727,NORFOLK
7728,NORFOLK
7729,NORFOLK
7730,NORFOLK
7731,NORFOLK
7732,NORFOLK
7733,NORFOLK
7734,NORFOLK
7736,NORFOLK
7738,NORFOLK
7741,PLYMOUTH
7742,PLYMOUTH
7743,PLYMOUTH
7744,PLYMOUTH
7745,PLYMOUTH
7746,PLYMOUTH
7747,PLYMOUTH
7748,PLYMOUTH
7749,PLYMOUTH
7750,PLYMOUTH
7751,PLYMOUTH
7752,PLYMOUTH
7753,PLYMOUTH
7754,PLYMOUTH
7755,PLYMOUTH
7756,PLYMOUTH
7757,PLYMOUTH
7758,PLYMOUTH
7759,PLYMOUTH
7760,PLYMOUTH
7761,PLYMOUTH
7763,PLYMOUTH
7764,PLYMOUTH
7765,PLYMOUTH
7766,PLYMOUTH
7767,PLYMOUTH
7768,PLYMOUTH
7770,PLYMOUTH
7775,SUFFOLK
7777,SUFFOLK
7778,SUFFOLK
7779,SUFFOLK
7783,SUFFOLK
7784,SUFFOLK
7785,SUFFOLK
7786,SUFFOLK
7788,SUFFOLK
7789,MIDDLESEX
7790,SUFFOLK
7791,SUFFOLK
7792,SUFFOLK
7800,WORCESTER
7801,WORCESTER
7802,WORCESTER
7803,WORCESTER
7804,WORCESTER
7805,WORCESTER
7806,WORCESTER
7807,WORCESTER
7808,WORCESTER
7809,WORCESTER
7810,WORCESTER
7811,WORCESTER
7812,WORCESTER
7813,WORCESTER
7814,WORCESTER
7815,WORCESTER
7816,WORCESTER
7817,WORCESTER
7818,WORCESTER
7819,WORCESTER
7820,WORCESTER
7822,WORCESTER
7823,WORCESTER
7824,WORCESTER
7825,WORCESTER
7826,WORCESTER
7827,WORCESTER
7828,WORCESTER
7829,WORCESTER
7830,WORCESTER
7832,WORCESTER
7833,WORCESTER
7834,WORCESTER
7835,WORCESTER
7836,WORCESTER
7839,WORCESTER
7840,WORCESTER
7841,WORCESTER
7842,WORCESTER
7843,WORCESTER
7844,WORCESTER
7845,WORCESTER
7846,WORCESTER
7847,WORCESTER
7848,WORCESTER
7849,WORCESTER
7850,WORCESTER
7851,WORCESTER
7852,WORCESTER
7853,WORCESTER
7854,WORCESTER
7855,WORCESTER
7856,WORCESTER
7857,WORCESTER
7858,WORCESTER
7859,WORCESTER
7860,WORCESTER
7861,WORCESTER
7862,MIDDLESEX
7864,WORCESTER
7865,WORCESTER
7866,WORCESTER
7867,WORCESTER
7875,WORCESTER
7876,BARNSTABLE
7877,BERKSHIRE
7878,BRISTOL
7880,ESSEX
7881,FRANKLIN
7882,HAMPDEN
7883,HAMPSHIRE
7884,MIDDLESEX
7885,NANTUCKET
7886,NORFOLK
7887,PLYMOUTH
7888,SUFFOLK
7889,WORCESTER
21944,MIDDLESEX
23136,NOT SPECIFIED
25337,BARNSTABLE
25338,BRISTOL
25339,ESSEX
25340,FRANKLIN
25341,HAMPDEN
25343,SUFFOLK
25344,SUFFOLK
25345,SUFFOLK
25346,WORCESTER
25347,WORCESTER
25421,NORFOLK
25563,SUFFOLK
25567,WORCESTER
25578,BRISTOL
25607,ESSEX
25647,NORFOLK
25668,ESSEX
33135,NOT SPECIFIED
33339,MIDDLESEX
