agency_id,county_name
8286,ALCONA
8287,ALCONA
8290,ALGER
8291,ALGER
8292,ALGER
8293,ALLEGAN
8294,ALLEGAN
8295,ALLEGAN
8296,ALLEGAN
8297,ALLEGAN
8300,ALLEGAN
8301,ALLEGAN
8303,ALLEGAN
8305,ALPENA
8306,ALPENA
8307,ALPENA
8308,ANTRIM
8309,ANTRIM
8315,ARENAC
8316,ARENAC
8317,ARENAC
8319,BARAGA
8320,BARAGA
8323,BARRY
8324,BARRY
8325,BARRY
8327,BARRY
8329,BARRY
8330,BARRY
8332,BAY
8333,BAY
8335,BAY
8336,BAY
8338,BAY
8339,BAY
8340,BENZIE
8341,BENZIE
8344,BENZIE
8346,BERRIEN
8347,BERRIEN
8348,BERRIEN
8349,BERRIEN
8350,BERRIEN
8351,BERRIEN
8352,BERRIEN
8353,BERRIEN
8355,BERRIEN
8356,BERRIEN
8359,BERRIEN
8360,BERRIEN
8361,BERRIEN
8362,BERRIEN
8363,BERRIEN
8364,BERRIEN
8366,BERRIEN
8367,BERRIEN
8368,BERRIEN
8369,BRANCH
8370,BRANCH
8371,BRANCH
8372,BRANCH
8373,BRANCH
8375,"BRANCH, CALHOUN"
8376,CALHOUN
8377,CALHOUN
8378,CALHOUN
8379,CALHOUN
8382,CALHOUN
8384,CALHOUN
8387,CASS
8388,CASS
8389,CASS
8390,CASS
8391,CASS
8395,CHARLEVOIX
8396,CHARLEVOIX
8397,CHARLEVOIX
8399,CHARLEVOIX
8400,CHARLEVOIX
8401,CHEBOYGAN
8402,CHEBOYGAN
8403,CHEBOYGAN
8404,"CHEBOYGAN, EMMET"
8405,CHEBOYGAN
8406,CHIPPEWA
8407,CHIPPEWA
8409,CHIPPEWA
8410,CHIPPEWA
8411,CLARE
8412,CLARE
8413,"CLARE, ISABELLA"
8417,CLINTON
8418,CLINTON
8419,CLINTON
8420,CLINTON
8421,CLINTON
8424,"CLINTON, SHIAWASSEE"
8425,CLINTON
8426,CLINTON
8427,CLINTON
8428,CRAWFORD
8429,CRAWFORD
8430,CRAWFORD
8432,DELTA
8433,DELTA
8434,DELTA
8436,DELTA
8437,DICKINSON
8442,EATON
8443,EATON
8445,EATON
8447,EATON
8448,EATON
8450,EATON
8454,EMMET
8455,EMMET
8456,EMMET
8458,EMMET
8459,GENESEE
8460,GENESEE
8461,GENESEE
8463,GENESEE
8464,GENESEE
8465,GENESEE
8466,GENESEE
8467,"GENESEE, OAKLAND"
8468,GENESEE
8469,GENESEE
8470,GENESEE
8471,GENESEE
8473,GENESEE
8475,GENESEE
8476,GENESEE
8478,GENESEE
8480,GENESEE
8483,GENESEE
8484,GENESEE
8485,GENESEE
8487,GENESEE
8488,GENESEE
8489,GENESEE
8490,GENESEE
8491,GENESEE
8492,GLADWIN
8493,GLADWIN
8494,GLADWIN
8495,GLADWIN
8496,GOGEBIC
8497,GOGEBIC
8499,GOGEBIC
8500,GOGEBIC
8502,GOGEBIC
8503,NOT SPECIFIED
8504,GRAND TRAVERSE
8505,GRAND TRAVERSE
8506,"GRAND TRAVERSE, LEELANAU"
8507,GRATIOT
8508,GRATIOT
8509,GRATIOT
8510,GRATIOT
8512,GRATIOT
8513,HILLSDALE
8514,HILLSDALE
8515,HILLSDALE
8516,HILLSDALE
8517,HILLSDALE
8519,HILLSDALE
8522,HOUGHTON
8523,HOUGHTON
8527,HOUGHTON
8528,HOUGHTON
8529,HOUGHTON
8530,HOUGHTON
8532,HOUGHTON
8533,HURON
8534,HURON
8535,HURON
8536,HURON
8538,HURON
8539,HURON
8540,HURON
8541,HURON
8542,HURON
8543,HURON
8544,HURON
8545,HURON
8546,HURON
8548,INGHAM
8549,INGHAM
8550,"CLINTON, INGHAM"
8551,"EATON, INGHAM"
8552,INGHAM
8553,INGHAM
8554,INGHAM
8555,INGHAM
8557,INGHAM
8558,INGHAM
8560,INGHAM
8561,INGHAM
8562,IONIA
8563,IONIA
8564,IONIA
8565,IONIA
8566,IONIA
8567,IONIA
8568,IOSCO
8569,IOSCO
8570,IOSCO
8571,IOSCO
8572,IOSCO
8573,IRON
8576,IRON
8579,IRON
8581,ISABELLA
8582,ISABELLA
8583,ISABELLA
8584,ISABELLA
8585,ISABELLA
8586,JACKSON
8587,JACKSON
8589,JACKSON
8594,JACKSON
8596,JACKSON
8598,JACKSON
8599,JACKSON
8601,JACKSON
8605,KALAMAZOO
8606,KALAMAZOO
8607,KALAMAZOO
8610,KALAMAZOO
8611,KALAMAZOO
8613,KALAMAZOO
8614,KALAMAZOO
8615,KALAMAZOO
8616,KALAMAZOO
8618,KALAMAZOO
8621,KALKASKA
8622,KALKASKA
8623,KALKASKA
8624,KALKASKA
8625,KENT
8626,KENT
8628,KENT
8629,KENT
8630,KENT
8631,KENT
8632,KENT
8633,KENT
8634,KENT
8636,KENT
8637,KENT
8638,KENT
8639,KENT
8640,KEWEENAW
8641,KEWEENAW
8643,LAKE
8647,LAPEER
8648,LAPEER
8649,LAPEER
8652,LAPEER
8653,LAPEER
8654,LAPEER
8655,LAPEER
8658,LAPEER
8660,LEELANAU
8661,LEELANAU
8666,LENAWEE
8667,LENAWEE
8668,LENAWEE
8669,LENAWEE
8670,LENAWEE
8674,LENAWEE
8675,LENAWEE
8676,LENAWEE
8677,LENAWEE
8679,LENAWEE
8680,LENAWEE
8681,LENAWEE
8682,LIVINGSTON
8683,LIVINGSTON
8684,LIVINGSTON
8685,LIVINGSTON
8686,LIVINGSTON
8687,LIVINGSTON
8688,LIVINGSTON
8690,LIVINGSTON
8691,LIVINGSTON
8692,LUCE
8693,LUCE
8695,MACKINAC
8696,MACKINAC
8697,MACKINAC
8698,MACKINAC
8699,MACOMB
8700,MACOMB
8701,MACOMB
8702,MACOMB
8703,MACOMB
8704,MACOMB
8707,MACOMB
8709,"MACOMB, ST CLAIR"
8710,MACOMB
8711,MACOMB
8712,MACOMB
8713,MACOMB
8714,MACOMB
8715,MACOMB
8716,MACOMB
8717,MACOMB
8718,MACOMB
8719,MACOMB
8720,MACOMB
8721,MANISTEE
8722,MANISTEE
8724,MANISTEE
8725,MARQUETTE
8726,MARQUETTE
8727,MARQUETTE
8728,MARQUETTE
8729,MARQUETTE
8730,MARQUETTE
8731,MARQUETTE
8733,MARQUETTE
8736,MARQUETTE
8740,MASON
8741,MASON
8742,MASON
8743,MASON
8744,MECOSTA
8745,MECOSTA
8746,MECOSTA
8747,MECOSTA
8748,MECOSTA
8749,MENOMINEE
8751,MENOMINEE
8753,NOT SPECIFIED
8754,MIDLAND
8755,MIDLAND
8756,MIDLAND
8757,"BAY, MIDLAND"
8760,MISSAUKEE
8761,MISSAUKEE
8764,MONROE
8774,MONTCALM
8775,MONTCALM
8776,MONTCALM
8780,MONTCALM
8782,MONTCALM
8786,MONTCALM
8787,MONTMORENCY
8788,MONTMORENCY
8791,MUSKEGON
8792,MUSKEGON
8796,MUSKEGON
8797,MUSKEGON
8798,MUSKEGON
8799,MUSKEGON
8800,MUSKEGON
8801,MUSKEGON
8802,MUSKEGON
8803,MUSKEGON
8804,MUSKEGON
8807,NEWAYGO
8808,NEWAYGO
8809,NEWAYGO
8810,NEWAYGO
8811,NEWAYGO
8812,NEWAYGO
8813,OAKLAND
8814,OAKLAND
8815,OAKLAND
8816,OAKLAND
8817,OAKLAND
8818,OAKLAND
8819,OAKLAND
8823,OAKLAND
8824,OAKLAND
8825,OAKLAND
8826,OAKLAND
8827,OAKLAND
8828,OAKLAND
8829,OAKLAND
8830,OAKLAND
8831,OAKLAND
8832,OAKLAND
8833,OAKLAND
8834,OAKLAND
8835,OAKLAND
8837,OAKLAND
8838,OAKLAND
8839,OAKLAND
8840,OAKLAND
8841,OAKLAND
8843,OAKLAND
8844,OAKLAND
8846,OAKLAND
8847,OAKLAND
8849,OAKLAND
8850,OAKLAND
8851,OAKLAND
8852,OAKLAND
8853,OAKLAND
8854,OAKLAND
8855,OAKLAND
8856,OAKLAND
8857,OAKLAND
8858,OAKLAND
8859,OAKLAND
8860,OAKLAND
8862,OAKLAND
8863,OCEANA
8864,OCEANA
8866,OCEANA
8867,"NEWAYGO, OCEANA"
8868,OCEANA
8869,OCEANA
8870,OCEANA
8871,OCEANA
8872,OGEMAW
8873,OGEMAW
8876,OGEMAW
8877,OGEMAW
8878,ONTONAGON
8879,ONTONAGON
8881,OSCEOLA
8883,OSCEOLA
8886,OSCEOLA
8887,OSCODA
8888,OSCODA
8889,OTSEGO
8890,OTSEGO
8891,OTSEGO
8893,OTTAWA
8894,OTTAWA
8897,OTTAWA
8898,"ALLEGAN, OTTAWA"
8901,OTTAWA
8902,OTTAWA
8904,PRESQUE ISLE
8905,PRESQUE ISLE
8909,PRESQUE ISLE
8910,ROSCOMMON
8912,ROSCOMMON
8913,ROSCOMMON
8916,ROSCOMMON
8918,ROSCOMMON
8919,SAGINAW
8920,SAGINAW
8921,SAGINAW
8922,SAGINAW
8923,SAGINAW
8924,SAGINAW
8925,SAGINAW
8928,SAGINAW
8929,SAGINAW
8930,SAGINAW
8931,SAGINAW
8932,SAGINAW
8933,SAGINAW
8934,SAGINAW
8936,SAGINAW
8937,SAGINAW
8941,SAGINAW
8944,ST CLAIR
8945,ST CLAIR
8947,ST CLAIR
8948,ST CLAIR
8949,ST CLAIR
8950,"MACOMB, ST CLAIR"
8951,ST CLAIR
8952,ST CLAIR
8953,ST CLAIR
8954,ST CLAIR
8957,ST JOSEPH
8958,ST JOSEPH
8961,ST JOSEPH
8962,ST JOSEPH
8963,ST JOSEPH
8964,ST JOSEPH
8965,ST JOSEPH
8966,ST JOSEPH
8967,SANILAC
8968,SANILAC
8969,"LAPEER, SANILAC"
8971,SANILAC
8973,SANILAC
8974,SANILAC
8977,SANILAC
8979,SANILAC
8980,SCHOOLCRAFT
8981,SCHOOLCRAFT
8982,SCHOOLCRAFT
8983,SHIAWASSEE
8984,SHIAWASSEE
8985,SHIAWASSEE
8988,SHIAWASSEE
8989,SHIAWASSEE
8990,SHIAWASSEE
8991,"GENESEE, SHIAWASSEE"
8992,SHIAWASSEE
8993,SHIAWASSEE
8994,SHIAWASSEE
8995,SHIAWASSEE
8996,SHIAWASSEE
8997,TUSCOLA
8998,TUSCOLA
8999,TUSCOLA
9001,TUSCOLA
9002,TUSCOLA
9005,TUSCOLA
9006,TUSCOLA
9007,TUSCOLA
9008,"SAGINAW, TUSCOLA"
9010,TUSCOLA
9013,VAN BUREN
9014,VAN BUREN
9015,VAN BUREN
9018,VAN BUREN
9020,VAN BUREN
9022,VAN BUREN
9023,VAN BUREN
9024,VAN BUREN
9025,"ALLEGAN, VAN BUREN"
9026,VAN BUREN
9028,WASHTENAW
9029,WASHTENAW
9030,WASHTENAW
9031,WASHTENAW
9033,WASHTENAW
9036,"MONROE, WASHTENAW"
9037,WASHTENAW
9038,WASHTENAW
9039,WASHTENAW
9040,WASHTENAW
9041,WASHTENAW
9042,WASHTENAW
9043,WAYNE
9044,WAYNE
9045,WAYNE
9046,WAYNE
9047,WAYNE
9048,WAYNE
9049,WAYNE
9050,WAYNE
9051,WAYNE
9052,WAYNE
9053,WAYNE
9054,WAYNE
9055,WAYNE
9056,WAYNE
9057,WAYNE
9058,"MACOMB, WAYNE"
9059,WAYNE
9060,WAYNE
9061,WAYNE
9062,WAYNE
9063,WAYNE
9064,WAYNE
9065,WAYNE
9066,WAYNE
9067,"OAKLAND, WAYNE"
9068,WAYNE
9069,WAYNE
9070,WAYNE
9071,WAYNE
9072,WAYNE
9073,WAYNE
9074,WAYNE
9075,WAYNE
9076,WAYNE
9077,WAYNE
9078,WAYNE
9079,WAYNE
9080,WAYNE
9081,WAYNE
9082,WAYNE
9083,WAYNE
9084,WAYNE
9085,WAYNE
9086,WAYNE
9087,WAYNE
9088,WAYNE
9089,WAYNE
