agency_id,county_name
9105,AITKIN
9106,ANOKA
9107,ANOKA
9108,ANOKA
9109,ANOKA
9110,ANOKA
9111,ANOKA
9112,ANOKA
9113,ANOKA
9114,"ANOKA, RAMSEY"
9119,ANOKA
9121,ANOKA
9122,BECKER
9123,BECKER
9124,BELTRAMI
9125,BELTRAMI
9126,BELTRAMI
9127,BENTON
9128,BENTON
9129,BIG STONE
9130,BIG STONE
9131,BLUE EARTH
9132,BLUE EARTH
9133,BLUE EARTH
9134,BLUE EARTH
9135,BLUE EARTH
9136,BROWN
9137,BROWN
9138,BROWN
9139,BROWN
9140,CARLTON
9141,CARLTON
9142,CARLTON
9145,CARVER
9147,CARVER
9149,CASS
9150,CHIPPEWA
9151,CHIPPEWA
9152,CHIPPEWA
9153,CHISAGO
9156,CHISAGO
9158,CHISAGO
9159,CHISAGO
9160,CLAY
9161,CLAY
9162,CLAY
9163,CLEARWATER
9164,COOK
9166,COTTONWOOD
9167,COTTONWOOD
9168,COTTONWOOD
9169,CROW WING
9170,CROW WING
9171,CROW WING
9172,CROW WING
9173,DAKOTA
9174,DAKOTA
9175,DAKOTA
9176,"DAKOTA, WASHINGTON"
9177,DAKOTA
9178,DAKOTA
9179,DAKOTA
9180,DAKOTA
9181,DAKOTA
9182,DAKOTA
9183,DAKOTA
9184,DAKOTA
9185,DODGE
9186,DODGE
9187,DOUGLAS
9188,DOUGLAS
9189,"DOUGLAS, TODD"
9190,FARIBAULT
9191,FARIBAULT
9192,FARIBAULT
9193,FARIBAULT
9194,FARIBAULT
9197,FILLMORE
9199,FREEBORN
9200,FREEBORN
9201,GOODHUE
9202,GOODHUE
9203,GOODHUE
9204,GOODHUE
9205,GOODHUE
9206,GRANT
9207,HENNEPIN
9208,HENNEPIN
9209,HENNEPIN
9210,HENNEPIN
9211,HENNEPIN
9212,HENNEPIN
9213,HENNEPIN
9214,HENNEPIN
9215,HENNEPIN
9216,HENNEPIN
9217,HENNEPIN
9218,HENNEPIN
9220,HENNEPIN
9221,HENNEPIN
9222,HENNEPIN
9223,HENNEPIN
9224,HENNEPIN
9225,HENNEPIN
9226,"HENNEPIN, RAMSEY"
9227,HENNEPIN
9228,HENNEPIN
9229,HENNEPIN
9230,HENNEPIN
9231,HENNEPIN
9232,HENNEPIN
9233,HENNEPIN
9234,HENNEPIN
9235,HENNEPIN
9236,HENNEPIN
9237,"HENNEPIN, WRIGHT"
9238,HENNEPIN
9240,HENNEPIN
9243,HENNEPIN
9245,HOUSTON
9246,HOUSTON
9247,HOUSTON
9248,HOUSTON
9249,HOUSTON
9250,HOUSTON
9251,HUBBARD
9252,HUBBARD
9253,ISANTI
9254,ISANTI
9255,ITASCA
9256,ITASCA
9257,ITASCA
9258,JACKSON
9260,JACKSON
9261,KANABEC
9263,KANDIYOHI
9264,KANDIYOHI
9265,KITTSON
9266,KITTSON
9267,KOOCHICHING
9268,KOOCHICHING
9270,LAC QUI PARLE
9271,LAC QUI PARLE
9273,LAKE
9274,LAKE
9275,LAKE
9277,LE SUEUR
9278,LE SUEUR
9279,LE SUEUR
9280,LINCOLN
9281,LYON
9282,LYON
9283,LYON
9284,MCLEOD
9285,MCLEOD
9286,MCLEOD
9287,MCLEOD
9288,MCLEOD
9291,MCLEOD
9292,MAHNOMEN
9293,MARSHALL
9294,MARTIN
9295,MARTIN
9296,MEEKER
9297,MEEKER
9298,MILLE LACS
9299,MILLE LACS
9300,"MILLE LACS, SHERBURNE"
9301,MORRISON
9302,MORRISON
9303,MOWER
9304,MOWER
9305,MURRAY
9306,MURRAY
9307,NICOLLET
9308,NICOLLET
9309,NICOLLET
9310,NOBLES
9311,NOBLES
9312,NORMAN
9313,OLMSTED
9314,OLMSTED
9316,OTTER TAIL
9317,OTTER TAIL
9318,PENNINGTON
9319,PENNINGTON
9320,PINE
9321,PIPESTONE
9323,POLK
9324,POLK
9325,POLK
9326,POPE
9327,POPE
9328,RAMSEY
9332,RAMSEY
9333,RAMSEY
9334,RAMSEY
9335,RAMSEY
9336,RAMSEY
9337,RAMSEY
9338,"RAMSEY, WASHINGTON"
9344,RED LAKE
9345,REDWOOD
9346,REDWOOD
9347,RENVILLE
9348,RENVILLE
9349,RICE
9350,RICE
9351,"DAKOTA, RICE"
9352,ROCK
9354,ROSEAU
9355,ROSEAU
9356,ROSEAU
9357,ST LOUIS
9359,ST LOUIS
9361,ST LOUIS
9362,ST LOUIS
9363,ST LOUIS
9364,ST LOUIS
9365,ST LOUIS
9366,ST LOUIS
9369,ST LOUIS
9370,ST LOUIS
9371,ST LOUIS
9372,ST LOUIS
9373,ST LOUIS
9374,SCOTT
9375,SCOTT
9376,SCOTT
9377,"LE SUEUR, SCOTT"
9378,SCOTT
9379,SCOTT
9380,SCOTT
9381,SHERBURNE
9382,SHERBURNE
9383,SHERBURNE
9384,SHERBURNE
9385,SIBLEY
9386,STEARNS
9387,STEARNS
9388,STEARNS
9389,STEARNS
9390,"BENTON, SHERBURNE, STEARNS"
9391,STEARNS
9392,STEARNS
9394,STEARNS
9396,STEARNS
9397,"BENTON, STEARNS"
9398,STEARNS
9399,STEARNS
9400,STEELE
9401,STEELE
9402,STEELE
9403,STEVENS
9404,STEVENS
9405,STEVENS
9406,SWIFT
9407,SWIFT
9408,SWIFT
9409,TODD
9410,TODD
9411,"TODD, WADENA"
9412,TRAVERSE
9414,TRAVERSE
9415,WABASHA
9416,"GOODHUE, WABASHA"
9417,WABASHA
9418,WABASHA
9420,WADENA
9421,"OTTER TAIL, WADENA"
9422,WASECA
9423,WASECA
9424,WASECA
9425,WASECA
9426,WASHINGTON
9427,WASHINGTON
9428,WASHINGTON
9431,WASHINGTON
9432,WASHINGTON
9433,WASHINGTON
9434,WASHINGTON
9437,WASHINGTON
9439,WASHINGTON
9441,WATONWAN
9442,WATONWAN
9443,WILKIN
9444,WILKIN
9445,WINONA
9446,WINONA
9447,WINONA
9448,WINONA
