agency_id,county_name
9478,ADAIR
9479,ADAIR
9480,ADAIR
9481,ANDREW
9482,ANDREW
9483,ANDREW
9485,ATCHISON
9486,ATCHISON
9487,AUDRAIN
9488,AUDRAIN
9490,AUDRAIN
9492,BARRY
9493,BARRY
9494,"BARRY, LAWRENCE"
9495,BARRY
9497,BARRY
9502,BARTON
9505,BATES
9506,BATES
9507,BATES
9508,BATES
9509,BENTON
9511,BENTON
9512,BENTON
9513,BOLLINGER
9514,BOLLINGER
9515,BOONE
9516,BOONE
9517,BOONE
9519,BOONE
9520,BOONE
9522,BUCHANAN
9523,BUCHANAN
9525,BUCHANAN
9526,BUTLER
9527,BUTLER
9528,BUTLER
9530,CALDWELL
9533,CALDWELL
9535,CALLAWAY
9536,CALLAWAY
9537,CALLAWAY
9539,CALLAWAY
9541,CAMDEN
9542,CAMDEN
9543,"CAMDEN, MILLER"
9544,CAMDEN
9545,"CAMDEN, MORGAN"
9546,CAPE GIRARDEAU
9547,CAPE GIRARDEAU
9548,CAPE GIRARDEAU
9549,CAPE GIRARDEAU
9550,CAPE GIRARDEAU
9551,CARROLL
9552,CARROLL
9554,CARTER
9555,CARTER
9556,CARTER
9560,CASS
9562,CASS
9563,"CASS, JACKSON"
9564,CASS
9565,CASS
9569,CASS
9570,CASS
9573,CASS
9574,CEDAR
9575,CEDAR
9577,CHARITON
9580,CHARITON
9583,CHRISTIAN
9584,CHRISTIAN
9585,CHRISTIAN
9586,CHRISTIAN
9587,CHRISTIAN
9588,CLARK
9591,CLAY
9593,"CLAY, RAY"
9594,CLAY
9595,CLAY
9597,CLAY
9598,CLAY
9599,CLAY
9600,CLAY
9602,CLAY
9606,CLINTON
9607,"CLINTON, DEKALB"
9608,"BUCHANAN, CLINTON"
9610,CLINTON
9613,COLE
9614,"CALLAWAY, COLE"
9616,NOT SPECIFIED
9617,NOT SPECIFIED
9619,NOT SPECIFIED
9620,COLE
9621,COLE
9622,NOT SPECIFIED
9624,COOPER
9625,COOPER
9628,CRAWFORD
9629,CRAWFORD
9630,CRAWFORD
9631,CRAWFORD
9633,"CRAWFORD, FRANKLIN"
9634,DADE
9635,DADE
9638,DALLAS
9639,DALLAS
9641,DAVIESS
9643,DEKALB
9646,DENT
9647,DENT
9648,DOUGLAS
9649,DOUGLAS
9650,DUNKLIN
9651,DUNKLIN
9654,DUNKLIN
9655,DUNKLIN
9656,DUNKLIN
9657,DUNKLIN
9659,DUNKLIN
9660,FRANKLIN
9661,FRANKLIN
9662,FRANKLIN
9663,"FRANKLIN, ST LOUIS"
9664,FRANKLIN
9666,FRANKLIN
9667,FRANKLIN
9668,GASCONADE
9670,GASCONADE
9671,GASCONADE
9672,GASCONADE
9676,GREENE
9677,GREENE
9678,"CHRISTIAN, GREENE"
9679,"CHRISTIAN, GREENE"
9680,GREENE
9681,GREENE
9683,"GREENE, WEBSTER"
9684,GREENE
9685,GREENE
9686,GRUNDY
9687,GRUNDY
9688,HARRISON
9689,HARRISON
9691,HENRY
9697,HICKORY
9698,HOLT
9699,HOLT
9700,HOLT
9701,HOWARD
9702,HOWARD
9705,HOWELL
9706,HOWELL
9707,HOWELL
9708,HOWELL
9709,IRON
9710,IRON
9711,IRON
9712,IRON
9713,IRON
9714,JACKSON
9715,JACKSON
9716,JACKSON
9717,JACKSON
9718,JACKSON
9719,"CASS, JACKSON"
9720,JACKSON
9721,JACKSON
9722,"CASS, JACKSON"
9723,"JACKSON, LAFAYETTE"
9724,JACKSON
9725,JACKSON
9726,JACKSON
9727,JACKSON
9728,JACKSON
9729,JACKSON
9730,JACKSON
9731,JACKSON
9732,JASPER
9733,JASPER
9734,JASPER
9735,JASPER
9737,JASPER
9738,JASPER
9739,"JASPER, NEWTON"
9741,JASPER
9742,JASPER
9745,JASPER
9746,JEFFERSON
9747,JEFFERSON
9749,JEFFERSON
9750,JEFFERSON
9751,JEFFERSON
9752,JEFFERSON
9753,JEFFERSON
9754,JEFFERSON
9756,JEFFERSON
9757,JOHNSON
9758,JOHNSON
9759,JOHNSON
9760,JOHNSON
9761,JOHNSON
9766,KNOX
9768,LACLEDE
9770,LACLEDE
9771,LAFAYETTE
9772,LAFAYETTE
9773,LAFAYETTE
9774,LAFAYETTE
9775,LAFAYETTE
9776,LAFAYETTE
9777,LAFAYETTE
9778,LAFAYETTE
9779,LAFAYETTE
9781,LAFAYETTE
9783,LAFAYETTE
9784,LAWRENCE
9785,LAWRENCE
9786,LAWRENCE
9788,LAWRENCE
9789,LAWRENCE
9790,LAWRENCE
9791,LEWIS
9792,LEWIS
9794,LEWIS
9795,LINCOLN
9797,LINCOLN
9799,LINCOLN
9800,LINCOLN
9802,LINCOLN
9803,LINCOLN
9804,LINN
9805,LINN
9807,"CHARITON, LINN"
9808,LIVINGSTON
9809,LIVINGSTON
9810,MCDONALD
9812,MCDONALD
9814,MCDONALD
9816,MCDONALD
9817,MACON
9818,MACON
9819,MACON
9820,MADISON
9821,MADISON
9823,MARIES
9825,MARIES
9826,MARION
9827,"MARION, RALLS"
9828,MARION
9829,MERCER
9831,MILLER
9834,MISSISSIPPI
9835,MISSISSIPPI
9836,MISSISSIPPI
9840,MONROE
9841,"MARION, MONROE, RALLS"
9842,MONTGOMERY
9843,MONTGOMERY
9845,MONTGOMERY
9846,MONTGOMERY
9848,MONTGOMERY
9851,MORGAN
9853,"CAMDEN, MORGAN"
9854,NEW MADRID
9855,NEW MADRID
9857,NEW MADRID
9858,NEW MADRID
9860,NEW MADRID
9861,NEW MADRID
9865,NEW MADRID
9867,NEWTON
9869,NEWTON
9870,NEWTON
9871,NEWTON
9873,NODAWAY
9874,NODAWAY
9875,NODAWAY
9876,OREGON
9878,OREGON
9879,OSAGE
9881,OZARK
9884,PEMISCOT
9885,PEMISCOT
9887,PEMISCOT
9888,PEMISCOT
9893,PERRY
9894,PERRY
9895,PETTIS
9897,PETTIS
9899,PHELPS
9900,PHELPS
9901,PHELPS
9904,PHELPS
9905,PIKE
9906,PIKE
9907,PIKE
9909,PLATTE
9910,PLATTE
9911,PLATTE
9913,PLATTE
9914,PLATTE
9916,PLATTE
9922,PLATTE
9925,POLK
9926,POLK
9927,POLK
9929,POLK
9930,PULASKI
9931,PULASKI
9932,PULASKI
9933,"CAMDEN, LACLEDE, PULASKI"
9934,PULASKI
9935,PULASKI
9938,RALLS
9939,RALLS
9940,RALLS
9941,RALLS
9942,RANDOLPH
9945,RANDOLPH
9946,RAY
9947,RAY
9948,RAY
9949,"CLAY, RAY"
9954,REYNOLDS
9957,RIPLEY
9958,RIPLEY
9960,ST CHARLES
9961,ST CHARLES
9962,ST CHARLES
9963,ST CHARLES
9964,ST CHARLES
9966,ST CHARLES
9967,ST CHARLES
9968,"ST CHARLES, WARREN"
9970,ST CHARLES
9974,ST CLAIR
9976,ST CLAIR
9977,ST CLAIR
9978,ST FRANCOIS
9980,ST FRANCOIS
9981,ST FRANCOIS
9982,ST FRANCOIS
9984,ST FRANCOIS
9988,ST FRANCOIS
9990,ST LOUIS
9991,ST LOUIS
9992,ST LOUIS
9993,ST LOUIS
9994,ST LOUIS
9995,ST LOUIS
9996,ST LOUIS
9997,ST LOUIS
9998,ST LOUIS
9999,ST LOUIS
10001,ST LOUIS
10002,ST LOUIS
10004,ST LOUIS
10006,ST LOUIS
10007,ST LOUIS
10009,ST LOUIS
10010,ST LOUIS
10012,ST LOUIS
10013,ST LOUIS
10014,ST LOUIS
10016,ST LOUIS
10017,ST LOUIS
10018,ST LOUIS
10019,ST LOUIS
10021,ST LOUIS
10022,ST LOUIS
10023,ST LOUIS
10024,ST LOUIS
10025,ST LOUIS
10029,ST LOUIS
10030,ST LOUIS
10033,ST LOUIS
10034,ST LOUIS
10035,ST LOUIS
10036,ST LOUIS
10037,ST LOUIS
10039,ST LOUIS
10040,ST LOUIS
10041,ST LOUIS
10042,ST LOUIS
10043,ST LOUIS
10044,ST LOUIS
10049,ST LOUIS
10050,ST LOUIS
10051,ST LOUIS
10052,ST LOUIS
10054,ST LOUIS
10056,ST LOUIS
10057,ST LOUIS
10059,ST LOUIS
10060,ST LOUIS
10062,ST LOUIS
10064,ST LOUIS
10065,ST LOUIS
10066,ST LOUIS
10069,ST LOUIS
10074,ST LOUIS
10075,ST LOUIS
10076,STE GENEVIEVE
10079,SALINE
10080,SALINE
10082,SALINE
10085,SCHUYLER
10090,SCOTT
10092,SCOTT
10093,"NEW MADRID, SCOTT"
10095,SCOTT
10097,SHANNON
10099,SHANNON
10101,SHELBY
10103,SHELBY
10105,STODDARD
10107,STODDARD
10108,STODDARD
10109,STODDARD
10110,STODDARD
10113,STONE
10115,STONE
10116,STONE
10118,STONE
10119,STONE
10121,SULLIVAN
10122,SULLIVAN
10123,TANEY
10124,TANEY
10125,TANEY
10126,TANEY
10127,TANEY
10128,TANEY
10129,TEXAS
10130,TEXAS
10131,TEXAS
10132,TEXAS
10133,"SHANNON, TEXAS"
10134,VERNON
10135,VERNON
10137,WARREN
10139,WARREN
10140,WARREN
10141,WARREN
10142,WASHINGTON
10144,WASHINGTON
10145,WAYNE
10146,WAYNE
10149,WEBSTER
10150,WEBSTER
10151,WEBSTER
10152,WEBSTER
10153,WEBSTER
10154,"GREENE, WEBSTER"
10156,WRIGHT
10157,WRIGHT
10158,WRIGHT
10159,"TEXAS, WRIGHT"
10161,"CASS, CLAY, JACKSON, PLATTE"
10162,NOT SPECIFIED
10163,NOT SPECIFIED
10174,ST LOUIS CITY
23166,MISSISSIPPI
23206,PHELPS
25351,GREENE
25352,JEFFERSON
25566,PLATTE
25586,IRON
25587,ST CHARLES
25591,NOT SPECIFIED
25778,NOT SPECIFIED
28074,GREENE
29774,JEFFERSON
31614,BUCHANAN
31836,ST LOUIS
32014,COOPER
33451,GREENE
33512,JACKSON
