agency_id,county_name
10177,ALCORN
10178,ALCORN
10179,AMITE
10181,ATTALA
10182,ATTALA
10184,BOLIVAR
10185,BOLIVAR
10190,CALHOUN
10191,CALHOUN
10192,CALHOUN
10195,CHICKASAW
10198,CHOCTAW
10199,CHOCTAW
10200,CLAIBORNE
10201,CLAIBORNE
10203,CLARKE
10205,CLAY
10206,CLAY
10207,COAHOMA
10214,COVINGTON
10216,DESOTO
10217,DESOTO
10218,DESOTO
10219,DESOTO
10220,DESOTO
10221,FORREST
10222,"FORREST, LAMAR"
10223,FORREST
10227,GEORGE
10228,GEORGE
10232,GRENADA
10234,HANCOCK
10235,HANCOCK
10236,HANCOCK
10237,HARRISON
10238,HARRISON
10239,HARRISON
10240,HARRISON
10241,HARRISON
10242,HARRISON
10245,HINDS
10246,HINDS
10254,HINDS
10265,ITAWAMBA
10269,JACKSON
10270,JACKSON
10271,JACKSON
10272,JASPER
10273,JASPER
10274,JASPER
10275,JEFFERSON
10280,JONES
10281,JONES
10282,KEMPER
10285,LAFAYETTE
10286,LAFAYETTE
10287,LAFAYETTE
10288,LAMAR
10293,LEAKE
10295,LEE
10302,LINCOLN
10303,LINCOLN
10304,LOWNDES
10306,MADISON
10308,MADISON
10309,MADISON
10310,MARION
10313,MARSHALL
10315,MONROE
10317,MONROE
10320,NESHOBA
10325,NOXUBEE
10327,OKTIBBEHA
10328,OKTIBBEHA
10329,OKTIBBEHA
10331,PANOLA
10336,PEARL RIVER
10338,PIKE
10342,PONTOTOC
10343,PRENTISS
10344,PRENTISS
10346,PRENTISS
10350,RANKIN
10353,RANKIN
10354,RANKIN
10355,RANKIN
10357,SCOTT
10358,SCOTT
10363,SIMPSON
10364,SMITH
10365,STONE
10366,STONE
10367,SUNFLOWER
10374,TALLAHATCHIE
10375,TALLAHATCHIE
10376,TATE
10378,TATE
10381,TISHOMINGO
10383,TUNICA
10384,UNION
10389,WARREN
10394,WAYNE
10395,WAYNE
10396,WEBSTER
10397,WEBSTER
10399,WINSTON
10400,WINSTON
10402,YALOBUSHA
31574,"NESHOBA, NEWTON"
32176,TALLAHATCHIE
32177,CALHOUN
32178,CALHOUN
32179,RANKIN
32180,YALOBUSHA
32181,TUNICA
32182,MONROE
33014,HINDS
33015,HOLMES
33016,SUNFLOWER
33017,DESOTO
33034,MARSHALL
33234,"CHOCTAW, WEBSTER"
33235,TALLAHATCHIE
33236,YALOBUSHA
33254,UNION
33275,FORREST
33294,DESOTO
33295,TATE
33306,MADISON
33308,GRENADA
33335,"LAMAR, PEARL RIVER"
33368,LAMAR
33405,JONES
33420,UNION
33489,COVINGTON
33634,TIPPAH
33636,PONTOTOC
