agency_id,county_name
10407,BEAVERHEAD
10408,BEAVERHEAD
10409,BIG HORN
10411,BLAINE
10412,BLAINE
10414,BROADWATER
10415,CARBON
10416,CARBON
10417,CARBON
10419,CARTER
10421,CASCADE
10422,CASCADE
10424,CHOUTEAU
10425,CHOUTEAU
10426,CUSTER
10427,CUSTER
10430,DAWSON
10431,DAWSON
10432,DEER LODGE
10434,FALLON
10435,FALLON
10436,FERGUS
10437,FERGUS
10438,FLATHEAD
10439,FLATHEAD
10440,FLATHEAD
10441,FLATHEAD
10442,GALLATIN
10443,GALLATIN
10444,GALLATIN
10446,GALLATIN
10447,GALLATIN
10448,GALLATIN
10449,GARFIELD
10450,GLACIER
10451,GLACIER
10452,GOLDEN VALLEY
10453,GRANITE
10454,HILL
10455,HILL
10457,JEFFERSON
10458,JEFFERSON
10460,JUDITH BASIN
10461,LAKE
10462,LAKE
10463,LAKE
10464,LAKE
10466,LEWIS AND CLARK
10467,LEWIS AND CLARK
10468,LEWIS AND CLARK
10470,LIBERTY
10471,LINCOLN
10473,LINCOLN
10474,LINCOLN
10475,MCCONE
10476,MADISON
10477,MADISON
10478,MEAGHER
10479,MINERAL
10480,MISSOULA
10481,MISSOULA
10482,MISSOULA
10483,MUSSELSHELL
10485,PARK
10486,PARK
10487,PETROLEUM
10488,PHILLIPS
10490,PONDERA
10491,PONDERA
10493,POWDER RIVER
10494,POWELL
10495,POWELL
10496,PRAIRIE
10497,RAVALLI
10498,RAVALLI
10499,RAVALLI
10501,RICHLAND
10502,RICHLAND
10503,ROOSEVELT
10505,ROOSEVELT
10508,ROSEBUD
10509,ROSEBUD
10510,SANDERS
10511,SANDERS
10512,SANDERS
10514,SHERIDAN
10516,SILVER BOW
10518,STILLWATER
10519,STILLWATER
10520,SWEET GRASS
10521,TETON
10523,TOOLE
10526,VALLEY
10527,VALLEY
10529,WHEATLAND
10530,WIBAUX
10532,YELLOWSTONE
10533,YELLOWSTONE
10534,YELLOWSTONE
10535,NOT SPECIFIED
10536,NOT SPECIFIED
10537,NOT SPECIFIED
10538,NOT SPECIFIED
10540,NOT SPECIFIED
10541,NOT SPECIFIED
32074,YELLOWSTONE
