agency_id,county_name
10873,ALAMANCE
10874,"ALAMANCE, GUILFORD"
10875,ALAMANCE
10876,ALAMANCE
10877,"ALAMANCE, ORANGE"
10878,ALAMANCE
10879,ALAMANCE
10882,ALEXANDER
10883,ALEXANDER
10888,ALLEGHANY
10891,ANSON
10892,ANSON
10899,ASHE
10900,ASHE
10901,ASHE
10902,ASHE
10905,AVERY
10906,AVERY
10907,AVERY
10910,"AVERY, WATAUGA"
10911,AVERY
10915,BEAUFORT
10917,BEAUFORT
10918,BEAUFORT
10924,BERTIE
10926,BERTIE
10931,BLADEN
10932,BLADEN
10934,BLADEN
10935,BLADEN
10942,BRUNSWICK
10945,BRUNSWICK
10950,BRUNSWICK
10951,BRUNSWICK
10957,BUNCOMBE
10958,BUNCOMBE
10959,BUNCOMBE
10960,BUNCOMBE
10961,BUNCOMBE
10963,BUNCOMBE
10964,BUNCOMBE
10967,BUNCOMBE
10970,BURKE
10971,BURKE
10972,BURKE
10973,BURKE
10978,CABARRUS
10979,CABARRUS
10980,"CABARRUS, ROWAN"
10983,CALDWELL
10984,CALDWELL
10985,CALDWELL
10987,CALDWELL
10990,CAMDEN
10994,CARTERET
10995,CARTERET
10996,CARTERET
10997,CARTERET
10998,CARTERET
10999,CARTERET
11000,CARTERET
11001,CARTERET
11003,CARTERET
11007,CASWELL
11011,CATAWBA
11012,CATAWBA
11013,"BURKE, CALDWELL, CATAWBA"
11015,CATAWBA
11018,"BURKE, CATAWBA"
11022,CHATHAM
11023,CHATHAM
11024,CHATHAM
11027,CHEROKEE
11028,CHEROKEE
11029,CHEROKEE
11032,CHOWAN
11033,CHOWAN
11039,CLEVELAND
11040,"CLEVELAND, GASTON"
11041,CLEVELAND
11046,CLEVELAND
11052,COLUMBUS
11053,COLUMBUS
11054,COLUMBUS
11055,COLUMBUS
11063,CRAVEN
11064,CRAVEN
11065,CRAVEN
11067,CRAVEN
11073,CUMBERLAND
11074,CUMBERLAND
11075,CUMBERLAND
11076,CUMBERLAND
11077,CUMBERLAND
11078,CUMBERLAND
11081,CURRITUCK
11084,DARE
11085,DARE
11086,DARE
11087,DARE
11088,DARE
11089,DARE
11090,DARE
11091,DARE
11094,DAVIDSON
11095,DAVIDSON
11096,"DAVIDSON, RANDOLPH"
11102,DAVIE
11105,DUPLIN
11106,DUPLIN
11107,DUPLIN
11109,DUPLIN
