agency_id,county_name
11696,ADAMS
11697,BARNES
11698,BARNES
11699,BENSON
11700,BILLINGS
11701,BILLINGS
11702,BOTTINEAU
11705,BOWMAN
11706,BOWMAN
11707,BURKE
11708,BURKE
11709,BURLEIGH
11710,BURLEIGH
11711,BURLEIGH
11712,CASS
11714,CASS
11715,CASS
11716,CASS
11717,CAVALIER
11719,DICKEY
11720,DICKEY
11721,DICKEY
11722,DIVIDE
11724,DUNN
11725,DUNN
11726,EDDY
11728,EMMONS
11730,FOSTER
11731,FOSTER
11732,GOLDEN VALLEY
11733,GRAND FORKS
11734,GRAND FORKS
11736,GRAND FORKS
11737,GRAND FORKS
11738,GRAND FORKS
11739,GRAND FORKS
11740,GRANT
11743,GRIGGS
11745,HETTINGER
11746,KIDDER
11747,KIDDER
11748,LAMOURE
11750,LAMOURE
11751,LOGAN
11753,LOGAN
11754,MCHENRY
11756,MCINTOSH
11757,MCINTOSH
11758,MCKENZIE
11759,MCKENZIE
11760,MCLEAN
11761,MERCER
11762,MERCER
11763,MERCER
11765,MORTON
11766,MORTON
11768,MOUNTRAIL
11769,MOUNTRAIL
11771,MOUNTRAIL
11772,NELSON
11773,OLIVER
11774,PEMBINA
11775,PEMBINA
11776,PIERCE
11777,PIERCE
11778,RAMSEY
11779,RAMSEY
11780,RANSOM
11782,RANSOM
11783,RENVILLE
11785,RICHLAND
11786,RICHLAND
11787,RICHLAND
11788,ROLETTE
11789,ROLETTE
11790,ROLETTE
11792,SARGENT
11794,SHERIDAN
11795,SIOUX
11796,SLOPE
11797,STARK
11798,STARK
11799,STARK
11801,STEELE
11802,STUTSMAN
11803,STUTSMAN
11804,TOWNER
11806,TRAILL
11811,WALSH
11812,WALSH
11813,WARD
11814,WARD
11815,WARD
11816,WARD
11817,WARD
11818,WELLS
11819,WELLS
11821,WILLIAMS
11822,WILLIAMS
11823,NOT SPECIFIED
11824,NOT SPECIFIED
11825,NOT SPECIFIED
11827,NOT SPECIFIED
11828,NOT SPECIFIED
23281,WILLIAMS
25276,WARD
25835,BURLEIGH
26285,WILLIAMS
27610,ROLETTE
30074,NOT SPECIFIED
30554,MCLEAN
33697,PEMBINA
