agency_id,county_name
10543,ADAMS
10544,ADAMS
10545,ANTELOPE
10548,ARTHUR
10549,BANNER
10551,BOONE
10552,BOONE
10556,BOX BUTTE
10557,BOX BUTTE
10558,BOYD
10560,BROWN
10562,BUFFALO
10563,BUFFALO
10565,BUFFALO
10568,BURT
10571,BURT
10572,BUTLER
10574,CASS
10575,CASS
10578,CEDAR
10580,CEDAR
10581,CEDAR
10583,CHASE
10584,CHASE
10586,CHERRY
10587,CHERRY
10588,CHEYENNE
10589,CHEYENNE
10590,CLAY
10591,CLAY
10592,CLAY
10593,COLFAX
10594,COLFAX
10595,CUMING
10596,CUMING
10597,CUMING
10599,CUSTER
10600,CUSTER
10601,DAKOTA
10602,DAKOTA
10604,"DAKOTA, DIXON, THURSTON"
10605,DAWES
10606,DAWES
10608,DAWSON
10609,DAWSON
10610,DAWSON
10611,DAWSON
10612,DEUEL
10614,DIXON
10615,DODGE
10616,DODGE
10617,DODGE
10618,DOUGLAS
10622,DOUGLAS
10623,DOUGLAS
10624,DOUGLAS
10625,DOUGLAS
10627,DOUGLAS
10628,DUNDY
10630,FILLMORE
10632,FRANKLIN
10633,FRONTIER
10635,FURNAS
10639,GAGE
10640,GAGE
10641,GAGE
10642,GARDEN
10644,GARFIELD
10645,GARFIELD
10646,GOSPER
10647,GRANT
10648,GREELEY
10649,HALL
10650,HALL
10652,HAMILTON
10653,HAMILTON
10654,HARLAN
10656,HAYES
10657,HITCHCOCK
10658,HOLT
10659,HOLT
10661,HOOKER
10662,HOWARD
10663,HOWARD
10664,JEFFERSON
10666,JOHNSON
10668,KEARNEY
10669,KEARNEY
10670,KEITH
10671,KEITH
10672,KEYA PAHA
10673,KIMBALL
10674,KIMBALL
10675,KNOX
10680,LANCASTER
10681,LANCASTER
10683,LANCASTER
10684,LINCOLN
10685,LINCOLN
10686,LOGAN
10688,MCPHERSON
10689,MADISON
10690,MADISON
10692,MADISON
10693,"ANTELOPE, MADISON"
10695,MERRICK
10696,MERRICK
10697,MORRILL
10698,MORRILL
10700,NANCE
10703,NEMAHA
10705,NUCKOLLS
10706,NUCKOLLS
10707,OTOE
10708,OTOE
10710,PAWNEE
10711,PERKINS
10713,PHELPS
10714,PHELPS
10717,PIERCE
10718,PIERCE
10720,PLATTE
10721,PLATTE
10723,POLK
10725,RED WILLOW
10726,RED WILLOW
10727,RICHARDSON
10728,RICHARDSON
10730,ROCK
10732,SALINE
10734,SALINE
10736,SARPY
10737,SARPY
10738,SARPY
10740,SARPY
10742,SAUNDERS
10743,SAUNDERS
10744,SAUNDERS
10745,SCOTTS BLUFF
10746,SCOTTS BLUFF
10747,SCOTTS BLUFF
10748,SCOTTS BLUFF
10750,SCOTTS BLUFF
10751,SEWARD
10752,SEWARD
10753,SEWARD
10754,SHERIDAN
10755,SHERIDAN
10757,SHERMAN
10759,SIOUX
10760,STANTON
10762,THAYER
10763,THOMAS
10764,THURSTON
10765,NOT SPECIFIED
10766,NOT SPECIFIED
10767,VALLEY
10768,VALLEY
10769,WASHINGTON
10770,WASHINGTON
10771,WAYNE
10772,WAYNE
10773,WEBSTER
10775,WHEELER
10776,YORK
10777,YORK
10778,NOT SPECIFIED
10780,ADAMS
10781,ANTELOPE
10782,ARTHUR
10783,BANNER
10784,BLAINE
10785,BOONE
10786,BOX BUTTE
10787,BOYD
10788,BROWN
10789,BUFFALO
10790,BURT
10791,BUTLER
10792,CASS
10793,CEDAR
10794,CHASE
10795,CHERRY
10796,CHEYENNE
10797,CLAY
10798,COLFAX
10799,CUMING
10800,CUSTER
10801,DAKOTA
10802,DAWES
10803,DAWSON
10804,DEUEL
10805,DIXON
10806,DODGE
10807,DOUGLAS
10808,DUNDY
10809,FILLMORE
10810,FRANKLIN
10811,FRONTIER
10812,FURNAS
10813,GAGE
10814,GARDEN
10815,GARFIELD
10816,GOSPER
10817,GRANT
10818,GREELEY
10819,HALL
10820,HAMILTON
10821,HARLAN
10822,HAYES
10823,HITCHCOCK
10824,HOLT
10825,HOOKER
10826,HOWARD
10827,JEFFERSON
10828,JOHNSON
10829,KEARNEY
10830,KEITH
10832,KIMBALL
10833,KNOX
10834,LANCASTER
10835,LINCOLN
10836,LOGAN
10837,LOUP
10838,MCPHERSON
10839,MADISON
10840,MERRICK
10841,MORRILL
10842,NANCE
10843,NEMAHA
10844,NUCKOLLS
10845,OTOE
10846,PAWNEE
10847,PERKINS
10848,PHELPS
10849,PIERCE
10850,PLATTE
10851,POLK
10852,RED WILLOW
10853,RICHARDSON
10855,SALINE
10856,SARPY
10857,SAUNDERS
10858,SCOTTS BLUFF
10859,SEWARD
10860,SHERIDAN
10861,SHERMAN
10862,SIOUX
10863,STANTON
10864,THAYER
10865,THOMAS
10866,THURSTON
10867,VALLEY
10868,WASHINGTON
10869,WAYNE
10870,WEBSTER
10871,WHEELER
10872,YORK
25753,BUFFALO
28534,SCOTTS BLUFF
32856,DOUGLAS
33355,BOX BUTTE
33434,GREELEY
33630,LANCASTER
33685,GREELEY
33687,FRANKLIN
33691,KNOX
