agency_id,county_name
11829,BELKNAP
11830,BELKNAP
11831,BELKNAP
11832,BELKNAP
11833,BELKNAP
11834,BELKNAP
11835,BELKNAP
11836,BELKNAP
11837,BELKNAP
11838,BELKNAP
11839,BELKNAP
11840,BELKNAP
11841,BELKNAP
11843,CARROLL
11844,CARROLL
11845,CARROLL
11847,CARROLL
11849,CARROLL
11850,CARROLL
11851,CARROLL
11852,CARROLL
11853,CARROLL
11854,CARROLL
11855,CARROLL
11856,CARROLL
11857,CARROLL
11858,CARROLL
11860,CHESHIRE
11861,CHESHIRE
11862,CHESHIRE
11863,CHESHIRE
11864,CHESHIRE
11865,CHESHIRE
11867,CHESHIRE
11868,CHESHIRE
11869,CHESHIRE
11870,CHESHIRE
11871,CHESHIRE
11875,CHESHIRE
11876,CHESHIRE
11877,CHESHIRE
11880,CHESHIRE
11881,CHESHIRE
11882,CHESHIRE
11884,CHESHIRE
11887,COOS
11888,COOS
11889,COOS
11890,COOS
11893,COOS
11894,COOS
11896,COOS
11899,COOS
11901,GRAFTON
11902,GRAFTON
11903,GRAFTON
11904,GRAFTON
11906,GRAFTON
11908,GRAFTON
11909,GRAFTON
11910,GRAFTON
11912,GRAFTON
11913,GRAFTON
11915,GRAFTON
11916,GRAFTON
11917,GRAFTON
11918,GRAFTON
11919,GRAFTON
11920,GRAFTON
11921,GRAFTON
11922,GRAFTON
11923,GRAFTON
11925,GRAFTON
11926,GRAFTON
11927,GRAFTON
11928,GRAFTON
11929,GRAFTON
11930,GRAFTON
11931,GRAFTON
11933,HILLSBOROUGH
11934,HILLSBOROUGH
11935,HILLSBOROUGH
11936,HILLSBOROUGH
11937,HILLSBOROUGH
11938,HILLSBOROUGH
11939,HILLSBOROUGH
11940,HILLSBOROUGH
11941,HILLSBOROUGH
11942,HILLSBOROUGH
11943,HILLSBOROUGH
11944,HILLSBOROUGH
11945,HILLSBOROUGH
11947,HILLSBOROUGH
11948,HILLSBOROUGH
11949,HILLSBOROUGH
11950,HILLSBOROUGH
11951,HILLSBOROUGH
11952,HILLSBOROUGH
11953,HILLSBOROUGH
11954,HILLSBOROUGH
11955,HILLSBOROUGH
11956,HILLSBOROUGH
11957,HILLSBOROUGH
11958,HILLSBOROUGH
11959,HILLSBOROUGH
11960,HILLSBOROUGH
11963,HILLSBOROUGH
11967,MERRIMACK
11968,MERRIMACK
11969,MERRIMACK
11970,MERRIMACK
11972,MERRIMACK
11973,MERRIMACK
11974,MERRIMACK
11975,MERRIMACK
11976,MERRIMACK
11977,MERRIMACK
11978,MERRIMACK
11979,MERRIMACK
11980,MERRIMACK
11981,MERRIMACK
11983,MERRIMACK
11984,MERRIMACK
11985,MERRIMACK
11986,MERRIMACK
11987,MERRIMACK
11988,MERRIMACK
11989,MERRIMACK
11990,MERRIMACK
11992,MERRIMACK
11993,MERRIMACK
11994,MERRIMACK
11995,MERRIMACK
11997,ROCKINGHAM
11998,ROCKINGHAM
11999,ROCKINGHAM
12000,ROCKINGHAM
12001,ROCKINGHAM
12002,ROCKINGHAM
12003,ROCKINGHAM
12004,ROCKINGHAM
12005,ROCKINGHAM
12006,ROCKINGHAM
12007,ROCKINGHAM
12008,ROCKINGHAM
12009,ROCKINGHAM
12010,ROCKINGHAM
12011,ROCKINGHAM
12012,ROCKINGHAM
12013,ROCKINGHAM
12014,ROCKINGHAM
12015,ROCKINGHAM
12016,ROCKINGHAM
12017,ROCKINGHAM
12018,ROCKINGHAM
12019,ROCKINGHAM
12020,ROCKINGHAM
12021,ROCKINGHAM
12022,ROCKINGHAM
12023,ROCKINGHAM
12024,ROCKINGHAM
12025,ROCKINGHAM
12026,ROCKINGHAM
12027,ROCKINGHAM
12028,ROCKINGHAM
12029,ROCKINGHAM
12030,ROCKINGHAM
12031,ROCKINGHAM
12032,ROCKINGHAM
12033,ROCKINGHAM
12034,ROCKINGHAM
12035,ROCKINGHAM
12037,STRAFFORD
12038,STRAFFORD
12039,STRAFFORD
12040,STRAFFORD
12041,STRAFFORD
12042,STRAFFORD
12043,STRAFFORD
12044,STRAFFORD
12045,STRAFFORD
12046,STRAFFORD
12047,STRAFFORD
12048,STRAFFORD
12049,STRAFFORD
12050,STRAFFORD
12051,STRAFFORD
12054,SULLIVAN
12055,SULLIVAN
12057,SULLIVAN
12060,SULLIVAN
12061,SULLIVAN
12062,SULLIVAN
12064,SULLIVAN
12065,SULLIVAN
12066,SULLIVAN
12067,SULLIVAN
12069,SULLIVAN
12070,SULLIVAN
22333,STRAFFORD
27591,COOS
29754,GRAFTON
30596,GRAFTON
31376,GRAFTON
32854,GRAFTON
32855,GRAFTON
33298,GRAFTON
33437,MERRIMACK
