agency_id,county_name
12083,ATLANTIC
12084,ATLANTIC
12085,ATLANTIC
12086,ATLANTIC
12088,ATLANTIC
12089,ATLANTIC
12090,ATLANTIC
12091,ATLANTIC
12099,ATLANTIC
12100,ATLANTIC
12101,ATLANTIC
12110,BERGEN
12112,BERGEN
12113,BERGEN
12115,BERGEN
12116,BERGEN
12119,BERGEN
12120,BERGEN
12124,BERGEN
12125,BERGEN
12126,BERGEN
12128,BERGEN
12134,BERGEN
12136,BERGEN
12137,BERGEN
12140,BERGEN
12141,BERGEN
12147,BERGEN
12149,BERGEN
12151,BERGEN
12157,BERGEN
12159,BERGEN
12163,BERGEN
12165,BERGEN
12169,BERGEN
12170,BERGEN
12171,BERGEN
12172,BERGEN
12173,BERGEN
12175,BERGEN
12200,BURLINGTON
12201,BURLINGTON
12220,CAMDEN
12221,CAMDEN
12223,CAMDEN
12225,CAMDEN
12227,CAMDEN
12235,CAMDEN
12245,CAMDEN
12247,CAMDEN
12252,CAMDEN
12258,CAMDEN
12269,CAPE MAY
12270,CAPE MAY
12275,CAPE MAY
12287,CUMBERLAND
12294,ESSEX
12295,ESSEX
12296,ESSEX
12297,ESSEX
12301,ESSEX
12306,ESSEX
12309,ESSEX
12310,ESSEX
12311,ESSEX
12312,ESSEX
12318,ESSEX
12319,ESSEX
12320,ESSEX
12321,NOT SPECIFIED
12331,GLOUCESTER
12334,GLOUCESTER
12337,GLOUCESTER
12361,HUDSON
12362,HUDSON
12365,HUDSON
12367,HUDSON
12392,HUNTERDON
12405,MERCER
12407,MERCER
12408,MERCER
12409,MERCER
12412,MERCER
12415,MERCER
12422,MERCER
12431,MIDDLESEX
12437,MIDDLESEX
12438,MIDDLESEX
12439,MIDDLESEX
12441,MIDDLESEX
12447,MIDDLESEX
12448,MIDDLESEX
12449,MIDDLESEX
12450,MIDDLESEX
12454,MIDDLESEX
12472,MONMOUTH
12484,MONMOUTH
12491,MONMOUTH
12499,MONMOUTH
12504,MONMOUTH
12534,MORRIS
12535,MORRIS
12541,MORRIS
12543,MORRIS
12544,MORRIS
12545,MORRIS
12547,MORRIS
12548,MORRIS
12549,MORRIS
12550,MORRIS
12553,MORRIS
12554,MORRIS
12557,MORRIS
12562,MORRIS
12566,MORRIS
12568,MORRIS
12569,MORRIS
12572,MORRIS
12579,OCEAN
12584,OCEAN
12586,OCEAN
12587,OCEAN
12588,OCEAN
12589,OCEAN
12590,OCEAN
12594,OCEAN
12595,OCEAN
12596,OCEAN
12597,OCEAN
12601,OCEAN
12603,OCEAN
12604,OCEAN
12605,OCEAN
12606,OCEAN
12609,OCEAN
12615,PASSAIC
12618,PASSAIC
12620,PASSAIC
12621,PASSAIC
12623,PASSAIC
12625,PASSAIC
12627,PASSAIC
12628,PASSAIC
12629,PASSAIC
12630,PASSAIC
12639,SALEM
12642,SALEM
12650,SOMERSET
12651,SOMERSET
12655,SOMERSET
12658,SOMERSET
12661,SOMERSET
12666,SOMERSET
12667,SOMERSET
12673,SUSSEX
12675,SUSSEX
12676,SUSSEX
12677,SUSSEX
12679,SUSSEX
12680,SUSSEX
12681,SUSSEX
12682,SUSSEX
12685,SUSSEX
12691,UNION
12692,UNION
12693,UNION
12696,UNION
12697,UNION
12702,UNION
12704,UNION
12706,UNION
12709,UNION
12711,UNION
12740,ESSEX
12743,NOT SPECIFIED
22726,NOT SPECIFIED
25637,NOT SPECIFIED
