agency_id,county_name
12744,BERNALILLO
12745,BERNALILLO
12746,BERNALILLO
12748,CHAVES
12751,COLFAX
12755,COLFAX
12761,DONA ANA
12762,DONA ANA
12764,DONA ANA
12766,DONA ANA
12768,EDDY
12769,EDDY
12783,LEA
12785,LEA
12798,MCKINLEY
12799,MCKINLEY
12800,NOT SPECIFIED
12801,NOT SPECIFIED
12809,QUAY
12811,QUAY
12815,NOT SPECIFIED
12817,NOT SPECIFIED
12820,ROOSEVELT
12828,NOT SPECIFIED
12829,SAN JUAN
12830,SAN JUAN
12831,SAN JUAN
12832,SAN JUAN
12841,NOT SPECIFIED
12844,SIERRA
12846,SOCORRO
12862,VALENCIA
12865,VALENCIA
12871,NOT SPECIFIED
12872,NOT SPECIFIED
12873,NOT SPECIFIED
12874,NOT SPECIFIED
12875,NOT SPECIFIED
12876,NOT SPECIFIED
12877,NOT SPECIFIED
12878,NOT SPECIFIED
28874,NOT SPECIFIED
