agency_id,county_name
12880,CHURCHILL
12881,CHURCHILL
12883,CLARK
12884,CLARK
12885,CLARK
12886,CLARK
12888,CLARK
12891,NOT SPECIFIED
12892,DOUGLAS
12894,ELKO
12895,ELKO
12896,ELKO
12898,ELKO
12900,EUREKA
12901,HUMBOLDT
12902,HUMBOLDT
12903,LANDER
12906,LYON
12909,MINERAL
12910,NYE
12911,CARSON CITY
12914,PERSHING
12915,STOREY
12916,WASHOE
12917,WASHOE
12918,WASHOE
12919,WASHOE
12920,WASHOE
12922,WHITE PINE
12924,NOT SPECIFIED
12925,NOT SPECIFIED
12927,NOT SPECIFIED
12929,NOT SPECIFIED
12930,NOT SPECIFIED
12932,NOT SPECIFIED
12933,NOT SPECIFIED
12934,NOT SPECIFIED
12935,NOT SPECIFIED
25359,CLARK
25360,NOT SPECIFIED
25748,NOT SPECIFIED
25756,WASHOE
25887,NOT SPECIFIED
25888,NOT SPECIFIED
25898,NOT SPECIFIED
25926,CARSON CITY
25982,CLARK
25996,WASHOE
27612,WASHOE
28694,NOT SPECIFIED
33134,CLARK
33352,NOT SPECIFIED
33649,CLARK
33651,WASHOE
33653,CARSON CITY
33655,ELKO
