agency_id,county_name
12946,ALBANY
12948,ALBANY
12968,BROOME
12969,BROOME
12970,BROOME
12971,BROOME
12976,BROOME
12978,CATTARAUGUS
12979,CATTARAUGUS
12993,CAYUGA
12999,CHAUTAUQUA
13000,CHAUTAUQUA
13001,CHAUTAUQUA
13002,CHAUTAUQUA
13009,CHAUTAUQUA
13012,CHAUTAUQUA
13016,CHAUTAUQUA
13017,CHAUTAUQUA
13045,COLUMBIA
13067,DUTCHESS
13068,DUTCHESS
13081,DUTCHESS
13083,DUTCHESS
13084,DUTCHESS
13088,ERIE
13136,GENESEE
13137,GENESEE
13154,HERKIMER
13162,JEFFERSON
13163,JEFFERSON
13184,LEWIS
13190,LIVINGSTON
13205,MONROE
13207,MONROE
13209,MONROE
13210,MONROE
13211,MONROE
13212,MONROE
13214,MONROE
13215,MONROE
13216,MONROE
13218,MONTGOMERY
13229,NASSAU
13261,NASSAU
13279,NIAGARA
13281,NIAGARA
13282,NIAGARA
13285,NIAGARA
13286,NIAGARA
13287,NIAGARA
13289,ONEIDA
13290,ONEIDA
13291,ONEIDA
13294,ONEIDA
13303,ONEIDA
13335,ORANGE
13344,ORANGE
13346,ORANGE
13349,ORANGE
13360,ORANGE
13367,ORANGE
13374,OSWEGO
13376,OSWEGO
13385,OTSEGO
13396,PUTNAM
13419,ROCKLAND
13425,ROCKLAND
13426,ROCKLAND
13427,ROCKLAND
13430,ROCKLAND
13432,ROCKLAND
13434,ROCKLAND
13437,ST LAWRENCE
13438,ST LAWRENCE
13439,ST LAWRENCE
13440,ST LAWRENCE
13441,ST LAWRENCE
13443,ST LAWRENCE
13446,SARATOGA
13460,SCHENECTADY
13473,SENECA
13475,SENECA
13526,SUFFOLK
13553,ULSTER
13556,ULSTER
13560,ULSTER
13561,ULSTER
13562,ULSTER
13564,ULSTER
13565,ULSTER
13566,ULSTER
13567,ULSTER
13568,ULSTER
13569,ULSTER
13573,ULSTER
13574,WARREN
13575,WARREN
13584,WASHINGTON
13605,WESTCHESTER
13608,WESTCHESTER
13611,WESTCHESTER
13621,WESTCHESTER
13631,WESTCHESTER
13633,WESTCHESTER
13641,WESTCHESTER
13647,WYOMING
13648,WYOMING
13653,YATES
13670,CHAUTAUQUA
13675,ERIE
13676,ERIE
13678,LIVINGSTON
13680,MONROE
13682,NEW YORK
13683,ONEIDA
13687,OSWEGO
13693,SUFFOLK
13694,SUFFOLK
13695,TOMPKINS
13697,ULSTER
14057,NOT SPECIFIED
14058,NOT SPECIFIED
23153,SENECA
29174,NIAGARA
