agency_id,county_name
14059,ADAMS
14061,ADAMS
14062,ADAMS
14063,ADAMS
14064,ADAMS
14065,ALLEN
14066,"ALLEN, HANCOCK"
14067,"ALLEN, VAN WERT"
14069,ALLEN
14070,ALLEN
14071,ALLEN
14073,ALLEN
14075,ALLEN
14078,ALLEN
14080,ASHLAND
14081,ASHLAND
14082,"ASHLAND, HOLMES"
14085,ASHTABULA
14087,ASHTABULA
14089,ASHTABULA
14094,ASHTABULA
14095,ATHENS
14096,ATHENS
14097,ATHENS
14098,ATHENS
14099,ATHENS
14103,ATHENS
14104,ATHENS
14106,AUGLAIZE
14107,AUGLAIZE
14108,AUGLAIZE
14112,AUGLAIZE
14113,AUGLAIZE
14116,BELMONT
14117,BELMONT
14118,BELMONT
14119,BELMONT
14120,BELMONT
14121,BELMONT
14122,BELMONT
14124,BELMONT
14127,BELMONT
14130,BROWN
14133,BROWN
14137,BUTLER
14140,"BUTLER, WARREN"
14141,"BUTLER, WARREN"
14146,BUTLER
14147,BUTLER
14148,BUTLER
14149,BUTLER
14150,BUTLER
14151,BUTLER
14152,CARROLL
14153,CARROLL
14156,CHAMPAIGN
14157,CHAMPAIGN
14158,CHAMPAIGN
14159,CHAMPAIGN
14160,CLARK
14162,CLARK
14164,CLARK
14165,CLARK
14167,CLARK
14169,CLERMONT
14170,CLERMONT
14171,CLERMONT
14172,"CLERMONT, HAMILTON"
14174,CLERMONT
14177,CLERMONT
14178,CLERMONT
14179,CLERMONT
14180,CLERMONT
14181,CLERMONT
14183,CLINTON
14184,CLINTON
14185,CLINTON
14186,CLINTON
14187,CLINTON
14188,COLUMBIANA
14189,"COLUMBIANA, MAHONING"
14190,COLUMBIANA
14191,COLUMBIANA
14193,COLUMBIANA
14194,"COLUMBIANA, MAHONING"
14195,COLUMBIANA
14196,COLUMBIANA
14197,COLUMBIANA
14198,"COLUMBIANA, MAHONING"
14200,COLUMBIANA
14202,COLUMBIANA
14203,COSHOCTON
14206,CRAWFORD
14207,CRAWFORD
14209,CRAWFORD
14211,CUYAHOGA
14212,CUYAHOGA
14213,CUYAHOGA
14214,CUYAHOGA
14215,CUYAHOGA
14216,CUYAHOGA
14217,CUYAHOGA
14218,CUYAHOGA
14219,CUYAHOGA
14221,CUYAHOGA
14224,CUYAHOGA
14225,CUYAHOGA
14226,CUYAHOGA
14227,CUYAHOGA
14228,CUYAHOGA
14229,CUYAHOGA
14230,CUYAHOGA
14232,CUYAHOGA
14233,"CUYAHOGA, GEAUGA"
14234,CUYAHOGA
14235,CUYAHOGA
14236,CUYAHOGA
14237,CUYAHOGA
14238,CUYAHOGA
14240,CUYAHOGA
14241,CUYAHOGA
14243,CUYAHOGA
14245,CUYAHOGA
14247,CUYAHOGA
14248,CUYAHOGA
14250,CUYAHOGA
14251,CUYAHOGA
14252,CUYAHOGA
14253,CUYAHOGA
14254,CUYAHOGA
14255,CUYAHOGA
14256,CUYAHOGA
14257,CUYAHOGA
14258,CUYAHOGA
14259,CUYAHOGA
14260,CUYAHOGA
14261,CUYAHOGA
14262,CUYAHOGA
14264,CUYAHOGA
14268,CUYAHOGA
14269,CUYAHOGA
14270,CUYAHOGA
14271,CUYAHOGA
14274,CUYAHOGA
14275,DARKE
14278,DARKE
14281,DEFIANCE
14282,DEFIANCE
14284,DELAWARE
14285,DELAWARE
14287,DELAWARE
14288,DELAWARE
14289,DELAWARE
14292,ERIE
14293,ERIE
14294,ERIE
14295,"ERIE, LORAIN"
14296,ERIE
14299,"ERIE, HURON"
14300,ERIE
14301,ERIE
14303,FAIRFIELD
14304,FAIRFIELD
14306,FAIRFIELD
14307,FAIRFIELD
14308,"FAIRFIELD, FRANKLIN"
14309,FAIRFIELD
14310,"FAIRFIELD, FRANKLIN"
14311,FAIRFIELD
14312,FAYETTE
14313,FAYETTE
14314,FRANKLIN
14315,FRANKLIN
14316,"DELAWARE, FRANKLIN, UNION"
14317,FRANKLIN
14318,FRANKLIN
14319,FRANKLIN
14320,FRANKLIN
14321,"FAIRFIELD, FRANKLIN, LICKING"
14322,FRANKLIN
14323,"DELAWARE, FRANKLIN"
14324,FRANKLIN
14325,FRANKLIN
14326,FRANKLIN
14328,FRANKLIN
14330,FRANKLIN
14331,"FRANKLIN, LICKING"
14333,FRANKLIN
14334,FRANKLIN
14335,FRANKLIN
14336,FRANKLIN
14337,FRANKLIN
14338,FRANKLIN
14341,NOT SPECIFIED
14342,FRANKLIN
14344,NOT SPECIFIED
14346,FRANKLIN
14347,FRANKLIN
14348,FULTON
14349,FULTON
14350,FULTON
14351,FULTON
14352,"FULTON, LUCAS"
14353,FULTON
14355,GALLIA
14356,GALLIA
14358,GALLIA
14360,GALLIA
14361,GEAUGA
14362,GEAUGA
14365,GEAUGA
14366,GEAUGA
14367,GEAUGA
14369,GEAUGA
14372,GREENE
14373,GREENE
14374,GREENE
14375,GREENE
14376,GREENE
14377,GREENE
14378,GREENE
14379,GREENE
14381,GREENE
14382,GREENE
14385,GUERNSEY
14386,GUERNSEY
14388,HAMILTON
14389,HAMILTON
14390,HAMILTON
14392,HAMILTON
14393,HAMILTON
14396,HAMILTON
14397,HAMILTON
14398,HAMILTON
14399,HAMILTON
14400,HAMILTON
14401,HAMILTON
14403,HAMILTON
14407,HAMILTON
14408,"CLERMONT, HAMILTON, WARREN"
14409,HAMILTON
14411,HAMILTON
14412,HAMILTON
14415,HAMILTON
14416,HAMILTON
14417,HAMILTON
14418,HAMILTON
14421,HAMILTON
14422,HAMILTON
14423,HAMILTON
14424,HAMILTON
14425,HAMILTON
14427,HAMILTON
14428,HAMILTON
14429,HAMILTON
14430,HANCOCK
14431,HANCOCK
14433,HARDIN
14434,HARDIN
14435,HARDIN
14437,HARDIN
14438,HARRISON
14443,HENRY
14444,HENRY
14449,HIGHLAND
14450,HIGHLAND
14451,HIGHLAND
14452,HIGHLAND
14453,"CLINTON, HIGHLAND"
14455,HOCKING
14456,HOCKING
14462,HURON
14463,HURON
14466,HURON
14468,JACKSON
14469,JACKSON
14470,JACKSON
14471,JACKSON
14472,JEFFERSON
14474,JEFFERSON
14475,JEFFERSON
14476,JEFFERSON
14478,JEFFERSON
14480,JEFFERSON
14485,JEFFERSON
14486,JEFFERSON
14488,KNOX
14489,KNOX
14490,KNOX
14491,KNOX
14493,LAKE
14496,LAKE
14497,LAKE
14498,LAKE
14500,LAKE
14502,LAKE
14503,LAKE
14504,LAKE
14505,LAKE
14509,LAKE
14510,LAKE
14511,LAKE
14512,LAWRENCE
14513,LAWRENCE
14514,LAWRENCE
14518,LICKING
14519,LICKING
14520,LICKING
14521,LICKING
14522,LICKING
14526,"KNOX, LICKING"
14529,"FAIRFIELD, LICKING"
14531,LOGAN
14532,LOGAN
14533,LOGAN
14535,LOGAN
14537,LORAIN
14538,LORAIN
14540,LORAIN
14541,LORAIN
14542,LORAIN
14543,LORAIN
14544,LORAIN
14545,LORAIN
14546,LORAIN
14547,LORAIN
14549,LORAIN
14550,LUCAS
14551,LUCAS
14552,LUCAS
14553,LUCAS
14554,LUCAS
14555,LUCAS
14556,LUCAS
14558,LUCAS
14559,LUCAS
14560,LUCAS
14563,LUCAS
14565,MADISON
14566,MADISON
14569,"MADISON, UNION"
14571,MAHONING
14572,MAHONING
14573,MAHONING
14575,MAHONING
14576,MAHONING
14577,MAHONING
14578,MAHONING
14579,MAHONING
14580,MAHONING
14581,MAHONING
14582,MAHONING
14583,MAHONING
14586,MAHONING
14587,MAHONING
14590,MAHONING
14591,MAHONING
14592,MAHONING
14594,MARION
14598,MEDINA
14599,MEDINA
14600,MEDINA
14601,MEDINA
14604,MEDINA
14606,MEDINA
14608,MEDINA
14609,MEDINA
14610,MEDINA
14611,MEDINA
14612,MEIGS
14613,MEIGS
14614,MEIGS
14615,MEIGS
14618,MERCER
14620,MERCER
14621,MERCER
14622,MERCER
14623,MERCER
14624,MIAMI
14626,MIAMI
14627,MIAMI
14628,MIAMI
14629,MIAMI
14630,MIAMI
14631,MONROE
14632,MONROE
14634,MONTGOMERY
14635,"GREENE, MONTGOMERY"
14636,MONTGOMERY
14637,MONTGOMERY
14641,MONTGOMERY
14642,MONTGOMERY
14643,MONTGOMERY
14645,MONTGOMERY
14646,MONTGOMERY
14647,MONTGOMERY
14648,"MIAMI, MONTGOMERY"
14649,MONTGOMERY
14651,MONTGOMERY
