agency_id,county_name
14933,ADAIR
14934,ADAIR
14935,ADAIR
14936,ADAIR
14937,ALFALFA
14938,ALFALFA
14941,ATOKA
14942,ATOKA
14943,ATOKA
14944,ATOKA
14945,ATOKA
14946,BEAVER
14947,BEAVER
14948,BECKHAM
14949,BECKHAM
14950,BECKHAM
14951,BECKHAM
14952,BLAINE
14953,BLAINE
14954,BLAINE
14955,"BLAINE, CANADIAN"
14957,BLAINE
14958,BRYAN
14959,BRYAN
14960,BRYAN
14961,BRYAN
14962,BRYAN
14963,BRYAN
14964,BRYAN
14966,BRYAN
14967,CADDO
14968,CADDO
14969,CADDO
14970,CADDO
14971,CADDO
14972,CADDO
14973,"BLAINE, CADDO"
14974,CANADIAN
14975,CANADIAN
14976,CANADIAN
14977,CANADIAN
14978,CANADIAN
14979,"CANADIAN, KINGFISHER"
14980,CANADIAN
14981,CARTER
14982,CARTER
14983,CARTER
14984,CARTER
14985,CARTER
14986,CHEROKEE
14987,CHEROKEE
14988,CHEROKEE
14989,CHEROKEE
14990,NOT SPECIFIED
14991,CHOCTAW
14992,CHOCTAW
14993,CHOCTAW
14994,CHOCTAW
14995,CHOCTAW
14996,CIMARRON
14997,CIMARRON
14999,CLEVELAND
15000,CLEVELAND
15001,CLEVELAND
15002,CLEVELAND
15003,CLEVELAND
15004,CLEVELAND
15007,COAL
15008,COAL
15009,COMANCHE
15010,COMANCHE
15011,COMANCHE
15012,COMANCHE
15013,COMANCHE
15014,COTTON
15015,COTTON
15017,CRAIG
15018,CRAIG
15020,CREEK
15021,CREEK
15022,"CREEK, PAYNE"
15023,"CREEK, TULSA"
15024,CREEK
15025,CREEK
15026,"CREEK, PAWNEE, TULSA"
15027,"CREEK, OKMULGEE"
15028,CREEK
15029,CUSTER
15030,"CUSTER, WASHITA"
15031,CUSTER
15032,CUSTER
15033,DELAWARE
15034,DELAWARE
15035,DELAWARE
15036,DELAWARE
15038,DELAWARE
15039,DEWEY
15040,DEWEY
15041,DEWEY
15042,ELLIS
15043,ELLIS
15044,GARFIELD
15045,GARFIELD
15046,GARFIELD
15047,GARFIELD
15048,GARFIELD
15049,GARVIN
15050,GARVIN
15051,GARVIN
15052,GARVIN
15053,GARVIN
15054,"GARVIN, MCCLAIN"
15055,GARVIN
15056,GARVIN
15057,GRADY
15058,GRADY
15059,GRADY
15060,GRADY
15061,GRADY
15062,GRADY
15063,GRANT
15064,GRANT
15065,GREER
15066,GREER
15067,GREER
15068,HARMON
15069,HARMON
15070,HARPER
15072,HARPER
15073,HASKELL
15074,HASKELL
15075,HASKELL
15076,HASKELL
15077,HUGHES
15078,HUGHES
15079,HUGHES
15080,JACKSON
15081,JACKSON
15082,JEFFERSON
15084,JEFFERSON
15085,JOHNSTON
15086,JOHNSTON
15088,KAY
15089,KAY
15090,KAY
15091,KAY
15092,KAY
15094,NOT SPECIFIED
15095,NOT SPECIFIED
15096,NOT SPECIFIED
15097,KINGFISHER
15098,KINGFISHER
15099,KINGFISHER
15100,"CANADIAN, KINGFISHER"
15101,KIOWA
15102,KIOWA
15103,KIOWA
15104,KIOWA
15105,LATIMER
15106,LATIMER
15107,LE FLORE
15108,LE FLORE
15109,LE FLORE
15110,LE FLORE
15111,LE FLORE
15112,LE FLORE
15113,LE FLORE
15114,LE FLORE
15115,LE FLORE
15116,LE FLORE
15117,LE FLORE
15118,LE FLORE
15119,LINCOLN
15120,LINCOLN
15121,LINCOLN
15122,"CREEK, LINCOLN"
15124,LINCOLN
15125,LINCOLN
15126,LINCOLN
15127,LINCOLN
15128,LINCOLN
15129,LINCOLN
15130,NOT SPECIFIED
15131,LOGAN
15132,LOGAN
15134,LOGAN
15135,LOGAN
15136,LOVE
15137,LOVE
15138,MCCLAIN
15139,"GRADY, MCCLAIN"
15140,MCCLAIN
15141,MCCLAIN
15142,MCCLAIN
15143,MCCLAIN
15145,MCCURTAIN
15146,MCCURTAIN
15147,MCCURTAIN
15148,MCCURTAIN
15149,MCCURTAIN
15150,MCINTOSH
15151,MCINTOSH
15152,MCINTOSH
15153,MAJOR
15154,MAJOR
15156,MARSHALL
15157,MARSHALL
15158,MARSHALL
15160,MAYES
15161,MAYES
15162,MAYES
15163,MAYES
15164,MAYES
15165,MAYES
15166,MAYES
15167,MAYES
15168,MURRAY
15169,MURRAY
15170,MURRAY
15171,MUSKOGEE
15172,MUSKOGEE
15173,"CHEROKEE, MUSKOGEE"
15174,MUSKOGEE
15175,MUSKOGEE
15176,MUSKOGEE
15177,NOBLE
15178,NOBLE
15180,NOWATA
15181,NOWATA
15182,NOWATA
15183,OKFUSKEE
15184,OKFUSKEE
15185,OKFUSKEE
15186,OKFUSKEE
15188,OKLAHOMA
15189,OKLAHOMA
15190,OKLAHOMA
15191,OKLAHOMA
15192,OKLAHOMA
15193,OKLAHOMA
15194,"CANADIAN, CLEVELAND, OKLAHOMA, POTTAWATOMIE"
15195,OKLAHOMA
15196,OKLAHOMA
15197,OKLAHOMA
15198,OKLAHOMA
15199,OKLAHOMA
15200,OKLAHOMA
15201,OKLAHOMA
15202,OKLAHOMA
15203,OKLAHOMA
15204,OKLAHOMA
15205,OKLAHOMA
15207,OKLAHOMA
15208,OKLAHOMA
15210,OKLAHOMA
15211,OKMULGEE
15212,OKMULGEE
15213,"OKFUSKEE, OKMULGEE"
15214,OKMULGEE
15215,OKMULGEE
15216,OKMULGEE
15217,OKMULGEE
15218,NOT SPECIFIED
15219,OSAGE
15220,OSAGE
15221,OSAGE
15222,OSAGE
15223,OSAGE
15225,OSAGE
15226,NOT SPECIFIED
15227,OTTAWA
15228,OTTAWA
15229,OTTAWA
15232,NOT SPECIFIED
15233,OTTAWA
15234,PAWNEE
15235,PAWNEE
15236,PAWNEE
15238,NOT SPECIFIED
15239,PAYNE
15240,PAYNE
15241,PAYNE
15242,PAYNE
15244,PAYNE
15245,PAYNE
15246,NOT SPECIFIED
15247,PITTSBURG
15248,PITTSBURG
15249,PITTSBURG
15250,PITTSBURG
15251,PITTSBURG
15252,PITTSBURG
15253,PITTSBURG
15256,PONTOTOC
15257,"HUGHES, PONTOTOC"
15259,PONTOTOC
15260,POTTAWATOMIE
15261,POTTAWATOMIE
15262,POTTAWATOMIE
15263,"POTTAWATOMIE, SEMINOLE"
15264,POTTAWATOMIE
15265,NOT SPECIFIED
15266,NOT SPECIFIED
15267,NOT SPECIFIED
15268,PUSHMATAHA
