agency_id,county_name
15356,BAKER
15357,BAKER
15358,BAKER
15359,BAKER
15360,BENTON
15361,BENTON
15362,BENTON
15364,BENTON
15365,BENTON
15367,BENTON
15368,CLACKAMAS
15369,CLACKAMAS
15371,CLACKAMAS
15372,"CLACKAMAS, MULTNOMAH, WASHINGTON"
15373,CLACKAMAS
15374,CLACKAMAS
15375,CLACKAMAS
15377,CLACKAMAS
15379,CLACKAMAS
15380,CLATSOP
15381,CLATSOP
15382,CLATSOP
15383,CLATSOP
15384,CLATSOP
15385,CLATSOP
15387,CLATSOP
15388,CLATSOP
15389,COLUMBIA
15391,COLUMBIA
15392,COLUMBIA
15393,COLUMBIA
15394,COLUMBIA
15395,COLUMBIA
15396,COLUMBIA
15397,COLUMBIA
15398,COOS
15399,COOS
15400,COOS
15401,COOS
15404,COOS
15407,COOS
15408,NOT SPECIFIED
15409,COOS
15410,CROOK
15411,CROOK
15412,CROOK
15413,CROOK
15414,CURRY
15415,CURRY
15419,CURRY
15420,DESCHUTES
15421,DESCHUTES
15422,DESCHUTES
15424,DESCHUTES
15425,DESCHUTES
15426,DESCHUTES
15427,DOUGLAS
15429,DOUGLAS
15430,DOUGLAS
15432,DOUGLAS
15433,DOUGLAS
15434,DOUGLAS
15438,DOUGLAS
15439,DOUGLAS
15440,GILLIAM
15443,GILLIAM
15444,GILLIAM
15446,GRANT
15448,GRANT
15449,GRANT
15450,HARNEY
15451,HARNEY
15452,HARNEY
15455,HARNEY
15456,HOOD RIVER
15457,HOOD RIVER
15458,HOOD RIVER
15459,HOOD RIVER
15460,JACKSON
15461,JACKSON
15462,JACKSON
15463,JACKSON
15464,JACKSON
15465,JACKSON
15466,JACKSON
15467,JACKSON
15469,JACKSON
15472,JACKSON
15473,JACKSON
15474,JEFFERSON
15476,JEFFERSON
15478,JEFFERSON
15479,JOSEPHINE
15480,JOSEPHINE
15483,JOSEPHINE
15484,KLAMATH
15485,KLAMATH
15487,KLAMATH
15488,KLAMATH
15489,KLAMATH
15490,LAKE
15493,LAKE
15495,LANE
15496,LANE
15497,LANE
15498,LANE
15499,LANE
15500,LANE
15504,LANE
15506,LANE
15507,LINCOLN
15508,LINCOLN
15509,LINCOLN
15512,LINCOLN
15513,LINCOLN
15514,LINN
15515,"BENTON, LINN"
15516,LINN
15517,LINN
15521,LINN
15522,MALHEUR
15524,MALHEUR
15527,MALHEUR
15528,MARION
15530,"MARION, POLK"
15531,MARION
15532,MARION
15533,MARION
15534,MARION
15535,MARION
15536,MARION
15543,MARION
15544,MARION
15545,MARION
15546,MORROW
15549,MORROW
15552,MORROW
15553,MULTNOMAH
15554,MULTNOMAH
15555,"CLACKAMAS, MULTNOMAH, WASHINGTON"
15556,MULTNOMAH
15560,MULTNOMAH
15561,MULTNOMAH
15562,MULTNOMAH
15563,POLK
15564,POLK
15565,POLK
15566,POLK
15568,POLK
15569,POLK
15570,SHERMAN
15571,SHERMAN
15572,SHERMAN
15573,TILLAMOOK
15575,TILLAMOOK
15576,TILLAMOOK
15577,TILLAMOOK
15579,TILLAMOOK
15580,UMATILLA
15581,UMATILLA
15582,UMATILLA
15583,UMATILLA
15584,UMATILLA
15587,UMATILLA
15588,UMATILLA
15590,UMATILLA
15591,NOT SPECIFIED
15593,UMATILLA
15594,UNION
15595,UNION
15599,UNION
15600,WALLOWA
15601,WALLOWA
15605,WALLOWA
15606,WASCO
15607,WASCO
15611,WASCO
15612,WASHINGTON
15613,WASHINGTON
15614,WASHINGTON
15615,WASHINGTON
15616,WASHINGTON
15617,"WASHINGTON, YAMHILL"
15618,WASHINGTON
15619,WASHINGTON
15620,WASHINGTON
15621,WASHINGTON
15622,WASHINGTON
15623,"CLACKAMAS, WASHINGTON"
15624,WASHINGTON
15625,WASHINGTON
15627,WHEELER
15628,WHEELER
15629,YAMHILL
15630,YAMHILL
15631,YAMHILL
15634,YAMHILL
15637,YAMHILL
15640,YAMHILL
15641,YAMHILL
15642,NOT SPECIFIED
15643,NOT SPECIFIED
23151,NOT SPECIFIED
25282,DESCHUTES
25283,CLACKAMAS
25284,NOT SPECIFIED
25285,NOT SPECIFIED
28035,WASHINGTON
33444,NOT SPECIFIED
