agency_id,county_name
15661,ADAMS
15662,ADAMS
15664,ADAMS
15666,ADAMS
15673,ALLEGHENY
15728,ALLEGHENY
15734,ALLEGHENY
15749,ALLEGHENY
15838,BEAVER
15881,BEDFORD
16293,CRAWFORD
16299,CUMBERLAND
16300,CUMBERLAND
16301,CUMBERLAND
16302,CUMBERLAND
16303,CUMBERLAND
16306,CUMBERLAND
16307,"CUMBERLAND, FRANKLIN"
16315,CUMBERLAND
16316,CUMBERLAND
16317,CUMBERLAND
16337,DAUPHIN
16339,DAUPHIN
16416,ERIE
16440,FAYETTE
16470,FRANKLIN
16473,FRANKLIN
16474,FRANKLIN
16476,FRANKLIN
16539,LACKAWANNA
16607,LANCASTER
16646,LEBANON
16662,LEBANON
16789,MERCER
16797,MERCER
17112,UNION
17149,"ALLEGHENY, WASHINGTON"
17312,YORK
17376,PHILADELPHIA
22805,CHESTER
22807,BEDFORD
22809,PERRY
22812,ERIE
22813,CHESTER
22814,VENANGO
22815,LANCASTER
22816,DELAWARE
25773,FRANKLIN
26018,BERKS
26246,TIOGA
