agency_id,county_name
17381,BRISTOL
17382,BRISTOL
17383,BRISTOL
17385,KENT
17386,KENT
17387,KENT
17388,KENT
17389,KENT
17390,KENT
17392,NEWPORT
17393,NEWPORT
17394,NEWPORT
17395,NEWPORT
17396,NEWPORT
17397,NEWPORT
17399,PROVIDENCE
17400,PROVIDENCE
17401,PROVIDENCE
17402,PROVIDENCE
17403,PROVIDENCE
17404,PROVIDENCE
17405,PROVIDENCE
17406,PROVIDENCE
17407,PROVIDENCE
17408,PROVIDENCE
17409,PROVIDENCE
17410,PROVIDENCE
17411,PROVIDENCE
17412,PROVIDENCE
17413,PROVIDENCE
17414,PROVIDENCE
17415,NOT SPECIFIED
17417,PROVIDENCE
17419,WASHINGTON
17420,WASHINGTON
17421,WASHINGTON
17422,WASHINGTON
17423,WASHINGTON
17424,WASHINGTON
17425,WASHINGTON
17428,WASHINGTON
17436,NOT SPECIFIED
17437,NOT SPECIFIED
17438,NOT SPECIFIED
17439,NOT SPECIFIED
17440,NOT SPECIFIED
17441,NOT SPECIFIED
