agency_id,county_name
17442,ABBEVILLE
17443,ABBEVILLE
17444,ABBEVILLE
17446,ABBEVILLE
17447,ABBEVILLE
17450,ABBEVILLE
17451,ABBEVILLE
17452,ABBEVILLE
17453,AIKEN
17454,AIKEN
17456,"AIKEN, EDGEFIELD"
17457,AIKEN
17458,AIKEN
17459,AIKEN
17460,AIKEN
17461,AIKEN
17467,AIKEN
17469,AIKEN
17470,AIKEN
17471,AIKEN
17472,ALLENDALE
17473,ALLENDALE
17475,ALLENDALE
17477,ALLENDALE
17478,ALLENDALE
17479,ALLENDALE
17480,ANDERSON
17481,ANDERSON
17482,ANDERSON
17483,"ABBEVILLE, ANDERSON"
17484,ANDERSON
17485,ANDERSON
17486,ANDERSON
17490,ANDERSON
17491,ANDERSON
17493,ANDERSON
17494,ANDERSON
17495,ANDERSON
17496,BAMBERG
17497,BAMBERG
17498,BAMBERG
17499,BAMBERG
17502,BAMBERG
17504,BAMBERG
17505,BAMBERG
17506,BAMBERG
17507,BARNWELL
17508,BARNWELL
17509,BARNWELL
17510,BARNWELL
17511,BARNWELL
17513,BARNWELL
17514,BARNWELL
17515,BARNWELL
17516,BEAUFORT
17517,BEAUFORT
17518,BEAUFORT
17519,BEAUFORT
17521,BEAUFORT
17523,BEAUFORT
17524,BEAUFORT
17525,BEAUFORT
17526,BERKELEY
17527,BERKELEY
17529,BERKELEY
17532,BERKELEY
17534,BERKELEY
17536,BERKELEY
17537,BERKELEY
17538,BERKELEY
17539,CALHOUN
17541,CALHOUN
17542,CALHOUN
17544,CALHOUN
17545,CALHOUN
17546,CALHOUN
17547,CHARLESTON
17548,"BERKELEY, CHARLESTON"
17550,CHARLESTON
17552,CHARLESTON
17554,CHARLESTON
17555,"CHARLESTON, DORCHESTER"
17556,CHARLESTON
17558,CHARLESTON
17559,CHARLESTON
17560,CHARLESTON
17561,CHARLESTON
17562,CHARLESTON
17563,CHARLESTON
17565,CHARLESTON
17566,CHARLESTON
17567,CHARLESTON
17568,CHEROKEE
17570,CHEROKEE
17571,CHEROKEE
17573,CHEROKEE
17574,CHEROKEE
17575,CHEROKEE
17576,CHESTER
17577,CHESTER
17580,CHESTER
17582,CHESTER
17583,CHESTER
17584,CHESTER
17585,CHESTERFIELD
17586,CHESTERFIELD
17587,CHESTERFIELD
17592,CHESTERFIELD
17594,CHESTERFIELD
17595,CHESTERFIELD
17596,CHESTERFIELD
17597,CLARENDON
17601,CLARENDON
17603,CLARENDON
17604,CLARENDON
17605,CLARENDON
17606,COLLETON
17607,COLLETON
17608,COLLETON
17609,COLLETON
17610,COLLETON
17612,COLLETON
17613,COLLETON
17614,COLLETON
17615,DARLINGTON
17616,DARLINGTON
17617,DARLINGTON
17619,DARLINGTON
17620,DARLINGTON
17622,DARLINGTON
17623,DARLINGTON
17624,DARLINGTON
17625,DILLON
17627,DILLON
17628,DILLON
17630,DILLON
17632,DILLON
17633,DILLON
17634,DILLON
17635,DORCHESTER
17637,"BERKELEY, CHARLESTON, DORCHESTER"
17640,DORCHESTER
17642,DORCHESTER
17643,DORCHESTER
17644,DORCHESTER
17645,EDGEFIELD
17646,EDGEFIELD
17649,EDGEFIELD
17651,EDGEFIELD
17652,EDGEFIELD
17653,EDGEFIELD
17654,FAIRFIELD
17655,FAIRFIELD
17657,FAIRFIELD
17659,FAIRFIELD
17660,FAIRFIELD
17661,FAIRFIELD
17662,FLORENCE
17663,FLORENCE
17665,FLORENCE
17666,FLORENCE
17667,FLORENCE
17668,FLORENCE
17669,FLORENCE
17670,FLORENCE
17671,FLORENCE
17672,FLORENCE
17673,FLORENCE
17675,FLORENCE
17676,FLORENCE
17677,FLORENCE
17678,GEORGETOWN
17679,"GEORGETOWN, WILLIAMSBURG"
17680,GEORGETOWN
17681,GEORGETOWN
17682,GEORGETOWN
17684,GEORGETOWN
17685,GEORGETOWN
17686,GEORGETOWN
17687,GREENVILLE
17688,"GREENVILLE, LAURENS"
17689,GREENVILLE
17690,"GREENVILLE, SPARTANBURG"
17691,GREENVILLE
17692,GREENVILLE
17693,GREENVILLE
17694,GREENVILLE
17697,GREENVILLE
17698,GREENVILLE
17700,GREENVILLE
17701,GREENVILLE
17702,GREENVILLE
17703,GREENWOOD
17704,GREENWOOD
17705,"ABBEVILLE, GREENWOOD"
17707,GREENWOOD
17708,GREENWOOD
17709,GREENWOOD
17711,GREENWOOD
17712,GREENWOOD
17713,GREENWOOD
17714,HAMPTON
17717,HAMPTON
17719,HAMPTON
17721,HAMPTON
17723,HAMPTON
17724,HAMPTON
17725,HAMPTON
17726,HORRY
17727,HORRY
17728,HORRY
17729,HORRY
17730,HORRY
17731,HORRY
17732,HORRY
17733,HORRY
17734,HORRY
17735,HORRY
17737,HORRY
17739,HORRY
17740,HORRY
17741,HORRY
17742,JASPER
17743,JASPER
17744,JASPER
17745,JASPER
17747,JASPER
17748,JASPER
17749,JASPER
17750,KERSHAW
17751,KERSHAW
17752,KERSHAW
17753,KERSHAW
17754,KERSHAW
17756,KERSHAW
17757,KERSHAW
17758,KERSHAW
17759,LANCASTER
17763,LANCASTER
17765,LANCASTER
17766,LANCASTER
17767,LANCASTER
17768,LAURENS
17769,LAURENS
17770,LAURENS
17774,LAURENS
17775,LAURENS
17777,LAURENS
17778,LAURENS
17779,LAURENS
17780,LEE
17783,LEE
17785,LEE
17786,LEE
17787,LEE
17788,LEXINGTON
17789,"LEXINGTON, SALUDA"
17790,"LEXINGTON, RICHLAND"
17792,LEXINGTON
17793,LEXINGTON
17794,LEXINGTON
17795,"LEXINGTON, RICHLAND"
17796,LEXINGTON
17799,LEXINGTON
17800,LEXINGTON
17801,LEXINGTON
17802,LEXINGTON
17805,LEXINGTON
17806,LEXINGTON
17808,LEXINGTON
17809,LEXINGTON
17810,LEXINGTON
17811,MCCORMICK
17812,MCCORMICK
17813,MCCORMICK
17815,MCCORMICK
17816,MCCORMICK
17817,MCCORMICK
17818,MARION
17819,MARION
17820,MARION
17822,MARION
17824,MARION
17825,MARION
17826,MARION
17827,MARLBORO
17828,MARLBORO
17829,MARLBORO
17830,MARLBORO
17831,MARLBORO
17833,MARLBORO
17834,MARLBORO
17835,MARLBORO
17836,NEWBERRY
17837,NEWBERRY
17838,NEWBERRY
17841,NEWBERRY
17843,NEWBERRY
17845,NEWBERRY
17846,NEWBERRY
17847,NEWBERRY
17848,OCONEE
17849,OCONEE
17850,OCONEE
17851,OCONEE
17853,OCONEE
17854,OCONEE
17856,OCONEE
17857,OCONEE
17858,OCONEE
17859,ORANGEBURG
17860,ORANGEBURG
17861,ORANGEBURG
17862,ORANGEBURG
17864,ORANGEBURG
17865,ORANGEBURG
17866,ORANGEBURG
17867,ORANGEBURG
17868,ORANGEBURG
17869,ORANGEBURG
17871,ORANGEBURG
17873,ORANGEBURG
17875,ORANGEBURG
17876,ORANGEBURG
17877,ORANGEBURG
17878,PICKENS
17879,PICKENS
17880,"ANDERSON, PICKENS"
17881,"ANDERSON, PICKENS"
17882,PICKENS
17883,PICKENS
17884,PICKENS
17886,PICKENS
17888,PICKENS
17889,PICKENS
17890,PICKENS
17891,RICHLAND
17892,"LEXINGTON, RICHLAND"
17894,RICHLAND
17895,RICHLAND
17897,RICHLAND
17898,RICHLAND
17903,RICHLAND
17904,RICHLAND
17907,ANDERSON
17908,RICHLAND
17909,RICHLAND
17910,RICHLAND
17911,SALUDA
17913,SALUDA
17914,SALUDA
17916,SALUDA
17917,SALUDA
17918,SALUDA
17919,SPARTANBURG
