agency_id,county_name
17986,AURORA
17988,BEADLE
17989,BENNETT
17990,BENNETT
17991,BON HOMME
17994,BON HOMME
17996,BROOKINGS
17997,BROOKINGS
17999,BROOKINGS
18000,BROWN
18001,BROWN
18002,BROWN
18003,BRULE
18004,BRULE
18007,NOT SPECIFIED
18008,BUTTE
18009,BUTTE
18012,CHARLES MIX
18015,CHARLES MIX
18016,NOT SPECIFIED
18018,CLARK
18019,CLAY
18020,CLAY
18022,CODINGTON
18023,CODINGTON
18024,CORSON
18027,CUSTER
18029,DAVISON
18030,DAVISON
18031,DAY
18032,DAY
18034,DEUEL
18036,NOT SPECIFIED
18043,EDMUNDS
18045,FALL RIVER
18046,FAULK
18049,GREGORY
18050,GREGORY
18052,GREGORY
18055,HAMLIN
18059,HAND
18060,HAND
18061,HANSON
18062,HARDING
18064,HUGHES
18065,HUGHES
18066,HUTCHINSON
18067,HUTCHINSON
18068,HUTCHINSON
18075,JERAULD
18076,JONES
18077,JONES
18078,KINGSBURY
18080,LAKE
18081,LAKE
18082,LAWRENCE
18083,LAWRENCE
18084,LAWRENCE
18085,LAWRENCE
18087,LINCOLN
18088,LINCOLN
18089,LINCOLN
18091,LINCOLN
18094,NOT SPECIFIED
18095,MCCOOK
18100,MCPHERSON
18103,MARSHALL
18104,MEADE
18105,MEADE
18106,MEADE
18108,MELLETTE
18109,MINER
18110,MINNEHAHA
18112,"LINCOLN, MINNEHAHA"
18113,MINNEHAHA
18116,MOODY
18117,MOODY
18119,PENNINGTON
18120,PENNINGTON
18121,"MEADE, PENNINGTON"
18122,PERKINS
18124,POTTER
18125,POTTER
18127,ROBERTS
18128,ROBERTS
18129,NOT SPECIFIED
18133,SANBORN
18136,NOT SPECIFIED
18137,SPINK
18139,STANLEY
18141,SULLY
18142,TODD
18143,NOT SPECIFIED
18144,TRIPP
18145,TRIPP
18146,TURNER
18152,UNION
18153,"LINCOLN, UNION"
18154,UNION
18155,UNION
18156,UNION
18157,UNION
18158,WALWORTH
18159,WALWORTH
18163,YANKTON
18164,YANKTON
22851,NOT SPECIFIED
27293,NOT SPECIFIED
32811,PENNINGTON
32835,CLAY
