agency_id,county_name
18753,ANDERSON
18754,"ANDERSON, HENDERSON"
18757,ANDREWS
18758,ANGELINA
18759,ANGELINA
18760,ANGELINA
18761,ANGELINA
18762,ANGELINA
18765,"ARANSAS, NUECES, SAN PATRICIO"
18766,ARANSAS
18768,ARCHER
18770,ARMSTRONG
18771,ATASCOSA
18772,"ATASCOSA, BEXAR, MEDINA"
18773,ATASCOSA
18774,ATASCOSA
18775,ATASCOSA
18776,AUSTIN
18777,AUSTIN
18778,AUSTIN
18779,AUSTIN
18781,BAILEY
18782,BAILEY
18783,BANDERA
18784,BASTROP
18785,BASTROP
18786,"BASTROP, TRAVIS"
18787,BASTROP
18788,BAYLOR
18789,BAYLOR
18790,BEE
18791,BEE
18792,BELL
18794,BELL
18795,BELL
18796,BELL
18797,BELL
18798,BELL
18799,BELL
18800,BELL
18802,BELL
18804,BELL
18806,BEXAR
18807,BEXAR
18808,BEXAR
18809,BEXAR
18810,BEXAR
18811,BEXAR
18812,BEXAR
18813,BEXAR
18814,BEXAR
18815,BEXAR
18816,BEXAR
18817,BEXAR
18818,BEXAR
18819,BEXAR
18820,BEXAR
18821,BEXAR
18822,BEXAR
18823,BEXAR
18825,"BEXAR, COMAL, GUADALUPE"
18826,BEXAR
18827,BEXAR
18829,BEXAR
18832,"BEXAR, COMAL, KENDALL"
18833,BEXAR
18834,BLANCO
18835,BLANCO
18837,BORDEN
18838,BOSQUE
18839,BOSQUE
18840,"BOSQUE, MCLENNAN"
18841,BOSQUE
18843,BOWIE
18845,BOWIE
18846,BOWIE
18847,BOWIE
18848,BOWIE
18849,BOWIE
18850,BRAZORIA
18851,BRAZORIA
18852,BRAZORIA
18853,BRAZORIA
18855,BRAZORIA
18856,BRAZORIA
18857,BRAZORIA
18858,"BRAZORIA, FORT BEND, HARRIS"
18859,BRAZORIA
18860,BRAZORIA
18861,BRAZORIA
18862,BRAZORIA
18863,BRAZORIA
18866,BRAZORIA
18867,BRAZORIA
18868,BRAZORIA
18869,BRAZORIA
18870,BRAZORIA
18871,BRAZOS
18872,BRAZOS
18873,BRAZOS
18874,BRAZOS
18875,BREWSTER
18876,BREWSTER
18877,BREWSTER
18878,BRISCOE
18879,BROOKS
18880,BROOKS
18881,BROWN
18883,BROWN
18884,BROWN
18885,BURLESON
18886,BURLESON
18887,BURLESON
18888,BURNET
18889,BURNET
18890,BURNET
18891,BURNET
18893,"BURNET, LLANO"
18895,CALDWELL
18896,CALDWELL
18897,"CALDWELL, GUADALUPE"
18899,CALHOUN
18900,CALHOUN
18901,CALHOUN
18903,CALLAHAN
18904,CALLAHAN
18906,CAMERON
18907,CAMERON
18908,CAMERON
18909,CAMERON
18910,CAMERON
18911,CAMERON
18912,CAMERON
18913,CAMERON
18914,CAMERON
18915,CAMERON
18918,CAMERON
18919,CAMERON
18921,CAMERON
18923,CAMERON
18924,CAMERON
18925,CAMP
18926,CAMP
18927,CARSON
18928,CARSON
18929,CASS
18930,CASS
18931,"CASS, MORRIS"
18932,CASS
18933,CASS
18935,CASTRO
18936,CASTRO
18938,CHAMBERS
18939,CHAMBERS
18940,CHAMBERS
18941,CHEROKEE
18942,CHEROKEE
18943,CHEROKEE
18946,CHEROKEE
18947,CHILDRESS
18948,CHILDRESS
18949,CLAY
18951,COCHRAN
18953,COKE
18955,COLEMAN
18956,COLEMAN
18957,COLLIN
18959,COLLIN
18960,COLLIN
18961,"COLLIN, DENTON"
18962,COLLIN
18963,"COLLIN, DENTON"
18964,"COLLIN, DENTON"
18965,"COLLIN, DALLAS, ROCKWALL"
18966,COLLIN
18967,COLLIN
18968,COLLIN
18969,COLLIN
18970,COLLIN
18971,COLLIN
18972,COLLINGSWORTH
18974,COLORADO
18975,COLORADO
18977,COLORADO
18978,COMAL
18979,"COMAL, GUADALUPE"
18980,COMAL
18981,COMAL
18982,COMANCHE
18983,COMANCHE
18984,COMANCHE
18985,CONCHO
18987,COOKE
18988,COOKE
18991,CORYELL
18992,"CORYELL, LAMPASAS"
18993,CORYELL
18997,CRANE
18998,CRANE
18999,CROCKETT
19000,CROSBY
19006,DALLAM
19007,"DALLAM, HARTLEY"
19008,DALLAS
19009,DALLAS
19010,DALLAS
19011,"COLLIN, DALLAS, DENTON"
19012,"DALLAS, ELLIS"
19013,DALLAS
19014,"DALLAS, DENTON"
19015,DALLAS
19016,DALLAS
19017,DALLAS
19018,"COLLIN, DALLAS"
19019,"DALLAS, ELLIS, TARRANT"
19020,DALLAS
19021,DALLAS
19022,DALLAS
19024,DALLAS
19025,"DALLAS, KAUFMAN"
19026,"COLLIN, DALLAS"
19027,"COLLIN, DALLAS"
19028,"DALLAS, KAUFMAN"
19029,DALLAS
19030,DALLAS
19031,DALLAS
19032,DALLAS
19034,"DALLAS, ROCKWALL"
19039,"DALLAS, ELLIS"
19041,DALLAS
19042,DALLAS
19043,"DALLAS, ELLIS"
19046,DAWSON
19048,DEAF SMITH
19049,DEAF SMITH
19050,DELTA
19052,DENTON
19053,DENTON
19054,DENTON
19055,DENTON
19056,"DALLAS, DENTON"
19057,DENTON
19058,"COOKE, DENTON"
19059,DENTON
19060,DENTON
19061,"DENTON, TARRANT"
19062,DENTON
19063,DENTON
19064,DENTON
19065,DENTON
19066,DENTON
19067,DENTON
19068,DENTON
19069,DENTON
19071,"DENTON, TARRANT"
19072,DENTON
19073,DENTON
19074,DEWITT
19075,DEWITT
19081,DONLEY
19083,DUVAL
19086,DUVAL
19087,EASTLAND
19088,EASTLAND
19089,EASTLAND
19091,EASTLAND
19093,ECTOR
19094,"ECTOR, MIDLAND"
19095,ECTOR
19096,ECTOR
19097,EDWARDS
19098,ELLIS
19099,ELLIS
19100,"DALLAS, ELLIS"
19101,ELLIS
19102,ELLIS
19104,ELLIS
19105,ELLIS
19106,ELLIS
19107,EL PASO
19108,EL PASO
19109,EL PASO
19110,EL PASO
19111,EL PASO
19112,EL PASO
19113,EL PASO
19114,EL PASO
19115,EL PASO
19117,EL PASO
19118,ERATH
19119,ERATH
19120,ERATH
19121,ERATH
19124,FALLS
19126,FANNIN
19127,FANNIN
19129,FANNIN
19130,FAYETTE
19131,FAYETTE
19132,FAYETTE
19133,FAYETTE
19137,FLOYD
19138,FLOYD
19139,FLOYD
19140,FOARD
19142,FORT BEND
19143,"FORT BEND, HARRIS"
19144,FORT BEND
19145,FORT BEND
19146,"FORT BEND, HARRIS"
19147,FORT BEND
19148,FORT BEND
19150,FORT BEND
19151,FORT BEND
19152,FORT BEND
19153,FRANKLIN
19154,FREESTONE
19155,FREESTONE
19156,FREESTONE
19157,FREESTONE
19159,FRIO
19161,GAINES
19163,GAINES
19164,GALVESTON
19165,GALVESTON
19166,"GALVESTON, HARRIS"
19167,GALVESTON
19168,GALVESTON
19169,GALVESTON
19170,GALVESTON
19171,"GALVESTON, HARRIS"
19172,GALVESTON
19173,GALVESTON
19175,GALVESTON
19177,GALVESTON
19180,GARZA
19182,GILLESPIE
19183,GILLESPIE
19184,GLASSCOCK
19185,GOLIAD
19187,GONZALES
19188,GONZALES
19190,GONZALES
19191,GRAY
19192,GRAY
19193,GRAYSON
19194,GRAYSON
19195,GRAYSON
19197,GRAYSON
19198,GRAYSON
19200,"FANNIN, GRAYSON"
19201,GRAYSON
19203,GRAYSON
19204,GRAYSON
19205,GRAYSON
19206,GREGG
19207,"GREGG, UPSHUR"
19208,"GREGG, RUSK"
19209,"GREGG, HARRISON"
19210,GREGG
19211,GRIMES
19212,GRIMES
19214,GUADALUPE
19215,"BEXAR, COMAL, GUADALUPE"
19216,GUADALUPE
19217,GUADALUPE
19219,"HALE, LUBBOCK"
19221,HALE
19222,HALL
19223,HALL
19224,HAMILTON
19225,HAMILTON
19227,HANSFORD
19229,HANSFORD
19230,HARDEMAN
19233,HARDIN
19234,HARDIN
19235,HARDIN
19236,HARDIN
19237,HARDIN
19238,HARRIS
19239,"CHAMBERS, HARRIS"
