agency_id,county_name
19872,BEAVER
19876,BOX ELDER
19877,BOX ELDER
19881,BOX ELDER
19882,BOX ELDER
19883,CACHE
19884,CACHE
19888,CACHE
19890,CACHE
19891,NOT SPECIFIED
19892,CARBON
19893,CARBON
19894,CARBON
19897,CARBON
19898,DAGGETT
19899,DAVIS
19900,DAVIS
19901,DAVIS
19902,DAVIS
19903,DAVIS
19904,DAVIS
19905,DAVIS
19906,DAVIS
19907,DAVIS
19908,DAVIS
19909,DAVIS
19910,DAVIS
19911,DAVIS
19913,DAVIS
19914,DUCHESNE
19916,DUCHESNE
19918,GARFIELD
19921,GRAND
19922,IRON
19923,IRON
19924,IRON
19925,IRON
19926,IRON
19927,IRON
19928,JUAB
19929,JUAB
19931,KANE
19932,KANE
19934,MILLARD
19937,MORGAN
19941,SALT LAKE
19943,SALT LAKE
19944,SALT LAKE
19945,SALT LAKE
19946,SALT LAKE
19947,SALT LAKE
19948,SALT LAKE
19949,"SALT LAKE, UTAH"
19950,SALT LAKE
19951,SALT LAKE
19952,SALT LAKE
19953,SALT LAKE
19956,SALT LAKE
19957,SALT LAKE
19959,SALT LAKE
19960,SALT LAKE
19964,SANPETE
19966,SANPETE
19967,SANPETE
19971,SANPETE
19972,SEVIER
19973,SEVIER
19974,SEVIER
19975,SUMMIT
19978,SUMMIT
19979,TOOELE
19980,TOOELE
19981,TOOELE
19984,UINTAH
19985,UINTAH
19986,NOT SPECIFIED
19987,UINTAH
19988,UTAH
19989,UTAH
19991,UTAH
19992,UTAH
19993,UTAH
19994,UTAH
19995,UTAH
19996,UTAH
19997,UTAH
19998,UTAH
19999,UTAH
20000,UTAH
20001,UTAH
20002,UTAH
20004,UTAH
20005,UTAH
20006,UTAH
20007,UTAH
20009,WASATCH
20010,WASATCH
20013,WASHINGTON
20014,WASHINGTON
20015,WASHINGTON
20017,WASHINGTON
20019,WASHINGTON
20020,WASHINGTON
20022,WASHINGTON
20024,WEBER
20025,WEBER
20026,WEBER
20027,WEBER
20029,WEBER
20030,WEBER
20031,WEBER
20032,WEBER
20035,WEBER
20038,NOT SPECIFIED
20039,NOT SPECIFIED
20040,NOT SPECIFIED
20041,NOT SPECIFIED
22911,JUAB
22912,SALT LAKE
23181,SANPETE
25570,SANPETE
25958,WEBER
26161,SEVIER
26296,BOX ELDER
28015,WASHINGTON
28474,SALT LAKE
29654,NOT SPECIFIED
30254,BOX ELDER
33456,IRON
