agency_id,county_name
20498,ADDISON
20499,ADDISON
20500,ADDISON
20501,ADDISON
20502,BENNINGTON
20503,BENNINGTON
20505,BENNINGTON
20507,BENNINGTON
20508,CALEDONIA
20509,CALEDONIA
20510,CALEDONIA
20511,CALEDONIA
20512,CHITTENDEN
20513,CHITTENDEN
20514,CHITTENDEN
20515,CHITTENDEN
20516,CHITTENDEN
20517,CHITTENDEN
20518,CHITTENDEN
20519,CHITTENDEN
20520,CHITTENDEN
20521,CHITTENDEN
20522,CHITTENDEN
20523,CHITTENDEN
20524,ESSEX
20525,ESSEX
20526,ESSEX
20527,FRANKLIN
20528,FRANKLIN
20530,FRANKLIN
20532,GRAND ISLE
20533,LAMOILLE
20534,LAMOILLE
20535,LAMOILLE
20536,ORANGE
20538,ORANGE
20539,ORANGE
20540,ORLEANS
20541,ORLEANS
20542,RUTLAND
20543,RUTLAND
20544,RUTLAND
20545,RUTLAND
20546,RUTLAND
20549,RUTLAND
20551,WASHINGTON
20552,WASHINGTON
20553,WASHINGTON
20554,WASHINGTON
20556,WASHINGTON
20557,WASHINGTON
20558,WASHINGTON
20559,WINDHAM
20560,WINDHAM
20561,WINDHAM
20562,WINDHAM
20563,WINDHAM
20565,WINDSOR
20566,WINDSOR
20567,WINDSOR
20568,WINDSOR
20569,WINDSOR
20570,WINDSOR
20571,WINDSOR
20572,WINDSOR
20573,WINDSOR
20574,WINDSOR
20575,WASHINGTON
20576,WASHINGTON
20577,WASHINGTON
20578,UNMAPPED COUNTY
20579,CHITTENDEN
20580,CALEDONIA
20581,RUTLAND
20583,WASHINGTON
20584,ADDISON
20585,FRANKLIN
20586,ORLEANS
20587,BENNINGTON
20589,WINDSOR
20590,WASHINGTON
23168,WASHINGTON
23252,RUTLAND
25412,RUTLAND
25413,WASHINGTON
25840,CHITTENDEN
25998,ORANGE
26057,WINDHAM
