agency_id,county_name
20593,ADAMS
20594,ADAMS
20595,ADAMS
20596,ASOTIN
20597,ASOTIN
20598,ASOTIN
20599,BENTON
20600,BENTON
20601,BENTON
20602,BENTON
20604,BENTON
20605,CHELAN
20607,CHELAN
20608,CLALLAM
20609,CLALLAM
20611,CLALLAM
20613,CLARK
20614,CLARK
20615,CLARK
20616,CLARK
20617,CLARK
20618,CLARK
20619,CLARK
20620,CLARK
20621,COLUMBIA
20623,COWLITZ
20624,COWLITZ
20625,COWLITZ
20626,COWLITZ
20627,COWLITZ
20628,"CLARK, COWLITZ"
20629,DOUGLAS
20630,DOUGLAS
20632,FERRY
20634,FRANKLIN
20635,FRANKLIN
20636,FRANKLIN
20637,GARFIELD
20639,GRANT
20640,GRANT
20641,GRANT
20642,GRANT
20643,GRANT
20645,GRANT
20646,GRANT
20647,GRANT
20648,GRANT
20649,GRAYS HARBOR
20650,GRAYS HARBOR
20651,GRAYS HARBOR
20652,GRAYS HARBOR
20654,GRAYS HARBOR
20656,GRAYS HARBOR
20657,GRAYS HARBOR
20658,GRAYS HARBOR
20659,ISLAND
20660,ISLAND
20663,JEFFERSON
20664,JEFFERSON
20665,KING
20666,"KING, PIERCE"
20667,KING
20668,"KING, SNOHOMISH"
20669,KING
20670,KING
20671,KING
20672,KING
20673,KING
20674,KING
20675,KING
20676,KING
20677,KING
20678,KING
20679,KING
20680,KING
20681,KING
20682,KING
20683,KING
20684,"KING, PIERCE"
20685,KING
20686,KING
20687,KING
20688,KING
20689,KING
20690,KING
20692,KING
20693,KING
20694,KING
20695,KING
20696,KING
20697,KING
20698,KING
20699,KING
20700,KING
20701,KING
20702,KING
20703,KING
20704,KITSAP
20705,KITSAP
20707,KITSAP
20708,KITSAP
20709,KITSAP
20710,KITTITAS
20711,KITTITAS
20712,KITTITAS
20715,KITTITAS
20716,KLICKITAT
20717,KLICKITAT
20718,KLICKITAT
20719,KLICKITAT
20720,LEWIS
20721,LEWIS
20722,LEWIS
20727,LEWIS
20729,LEWIS
20730,LINCOLN
20736,LINCOLN
20738,MASON
20739,MASON
20740,OKANOGAN
20741,OKANOGAN
20743,OKANOGAN
20744,OKANOGAN
20747,"DOUGLAS, OKANOGAN"
20749,OKANOGAN
20750,OKANOGAN
20753,PACIFIC
20754,PACIFIC
20755,PACIFIC
20756,PACIFIC
20757,PACIFIC
20758,PEND OREILLE
20759,PEND OREILLE
20762,PIERCE
20763,PIERCE
20764,PIERCE
20765,PIERCE
20766,PIERCE
20767,PIERCE
20768,PIERCE
20769,"KING, PIERCE"
20770,PIERCE
20771,PIERCE
20772,PIERCE
20773,PIERCE
20774,PIERCE
20775,PIERCE
20776,PIERCE
20777,PIERCE
20779,PIERCE
20780,PIERCE
20781,PIERCE
20782,SAN JUAN
20783,SKAGIT
20784,SKAGIT
20785,SKAGIT
20786,SKAGIT
20787,SKAGIT
20789,SKAMANIA
20792,SNOHOMISH
20793,SNOHOMISH
20794,SNOHOMISH
20795,SNOHOMISH
20796,SNOHOMISH
20797,SNOHOMISH
20798,SNOHOMISH
20799,SNOHOMISH
20800,SNOHOMISH
20801,SNOHOMISH
20802,SNOHOMISH
20803,SNOHOMISH
20804,SNOHOMISH
20805,SNOHOMISH
20806,SNOHOMISH
20807,SNOHOMISH
20808,SNOHOMISH
20809,SNOHOMISH
20810,SPOKANE
20811,SPOKANE
20814,SPOKANE
20815,SPOKANE
20816,SPOKANE
20817,SPOKANE
20818,SPOKANE
20819,STEVENS
20820,STEVENS
20821,STEVENS
20822,STEVENS
20825,THURSTON
20826,THURSTON
20827,THURSTON
20828,THURSTON
20831,THURSTON
20833,THURSTON
20834,THURSTON
20835,WAHKIAKUM
20836,WALLA WALLA
20837,WALLA WALLA
20838,WALLA WALLA
20840,WHATCOM
20841,WHATCOM
20842,WHATCOM
20843,WHATCOM
20844,WHATCOM
20845,WHATCOM
20846,WHATCOM
20847,WHATCOM
20849,WHITMAN
20852,WHITMAN
20854,WHITMAN
20858,WHITMAN
20863,YAKIMA
20864,YAKIMA
20865,YAKIMA
20866,YAKIMA
20867,YAKIMA
20868,YAKIMA
20873,YAKIMA
20876,YAKIMA
20878,NOT SPECIFIED
20879,NOT SPECIFIED
20880,NOT SPECIFIED
20881,NOT SPECIFIED
20882,NOT SPECIFIED
20883,NOT SPECIFIED
20885,NOT SPECIFIED
20886,NOT SPECIFIED
20887,NOT SPECIFIED
20889,NOT SPECIFIED
20890,NOT SPECIFIED
20891,NOT SPECIFIED
20893,NOT SPECIFIED
20894,NOT SPECIFIED
20896,NOT SPECIFIED
20897,NOT SPECIFIED
20898,NOT SPECIFIED
20899,NOT SPECIFIED
20900,KING
20901,NOT SPECIFIED
23119,NOT SPECIFIED
23224,THURSTON
25606,NOT SPECIFIED
25838,SNOHOMISH
25855,SNOHOMISH
25905,NOT SPECIFIED
27773,NOT SPECIFIED
27793,KING
31414,NOT SPECIFIED
