agency_id,county_name
20902,ADAMS
20903,ADAMS
20904,ADAMS
20905,ASHLAND
20906,ASHLAND
20907,BARRON
20908,BARRON
20909,BARRON
20910,BARRON
20916,BROWN
20917,BROWN
20918,BROWN
20923,BROWN
20924,BROWN
20925,BUFFALO
20927,BUFFALO
20928,BURNETT
20930,BURNETT
20931,CALUMET
20932,CALUMET
20933,CALUMET
20934,CALUMET
20935,CHIPPEWA
20936,CHIPPEWA
20937,CHIPPEWA
20938,CHIPPEWA
20939,"CHIPPEWA, CLARK"
20940,CHIPPEWA
20941,CLARK
20944,COLUMBIA
20945,COLUMBIA
20946,"ADAMS, COLUMBIA, SAUK"
20947,COLUMBIA
20949,COLUMBIA
20950,COLUMBIA
20952,CRAWFORD
20953,CRAWFORD
20954,DANE
20955,DANE
20956,DANE
20957,DANE
20958,DANE
20959,DANE
20960,DANE
20961,DANE
20962,DANE
20964,DANE
20967,DANE
20968,DANE
20970,DANE
20971,"DANE, GREEN"
20972,DANE
20973,DANE
20975,DANE
20976,DANE
20977,DANE
20978,DANE
20979,DANE
20981,DODGE
20982,DODGE
20983,DODGE
20984,DODGE
20985,DODGE
20986,DODGE
20987,"DODGE, FOND DU LAC"
20988,DODGE
20991,DOOR
20995,DOUGLAS
20996,DOUGLAS
20997,DOUGLAS
20998,DUNN
20999,DUNN
21000,DUNN
21001,DUNN
21002,EAU CLAIRE
21003,"CHIPPEWA, EAU CLAIRE"
21004,EAU CLAIRE
21005,EAU CLAIRE
21006,EAU CLAIRE
21007,EAU CLAIRE
21008,FLORENCE
21009,FOND DU LAC
21010,FOND DU LAC
21011,FOND DU LAC
21013,FOND DU LAC
21018,GRANT
21019,GRANT
21020,GRANT
21021,GRANT
21022,GRANT
21023,"GRANT, LAFAYETTE"
21024,"GRANT, LAFAYETTE"
21025,GRANT
21026,GREEN
21027,GREEN
21028,"GREEN, ROCK"
21029,GREEN
21030,GREEN
21032,"GREEN LAKE, WAUSHARA"
21035,GREEN LAKE
21036,IOWA
21041,IRON
21042,IRON
21046,JEFFERSON
21047,JEFFERSON
21048,JEFFERSON
21050,JEFFERSON
21051,JEFFERSON
21052,JEFFERSON
21053,JUNEAU
21054,JUNEAU
21055,JUNEAU
21056,JUNEAU
21058,KENOSHA
21059,KENOSHA
21063,KENOSHA
21064,KEWAUNEE
21065,KEWAUNEE
21066,KEWAUNEE
21067,KEWAUNEE
21068,LA CROSSE
21069,LA CROSSE
21070,LA CROSSE
21071,LA CROSSE
21072,LA CROSSE
21073,LA CROSSE
21074,LA CROSSE
21076,LAFAYETTE
21077,"IOWA, LAFAYETTE"
21078,LAFAYETTE
21081,LANGLADE
21082,LANGLADE
21083,LINCOLN
21084,LINCOLN
21085,LINCOLN
21086,MANITOWOC
21087,MANITOWOC
21088,MANITOWOC
21090,"CALUMET, MANITOWOC"
21091,MANITOWOC
21092,MANITOWOC
21093,MARATHON
21094,MARATHON
21096,MARATHON
