agency_id,county_name
21333,BARBOUR
21335,BARBOUR
21336,BARBOUR
21337,BARBOUR
21339,BERKELEY
21341,BERKELEY
21342,BERKELEY
21345,BOONE
21346,BOONE
21353,BRAXTON
21360,BROOKE
21361,BROOKE
21362,BROOKE
21363,BROOKE
21367,CABELL
21368,CABELL
21369,"CABELL, WAYNE"
21370,CABELL
21371,CABELL
21373,CABELL
21376,CALHOUN
21377,CALHOUN
21378,CALHOUN
21386,DODDRIDGE
21388,DODDRIDGE
21391,FAYETTE
21392,FAYETTE
21393,FAYETTE
21395,FAYETTE
21396,FAYETTE
21405,GILMER
21408,GILMER
21409,GILMER
21411,GRANT
21413,GRANT
21418,GREENBRIER
21419,GREENBRIER
21421,GREENBRIER
21422,GREENBRIER
21427,GREENBRIER
21429,HAMPSHIRE
21430,HAMPSHIRE
21431,HAMPSHIRE
21432,HAMPSHIRE
21435,HANCOCK
21436,HANCOCK
21437,"BROOKE, HANCOCK"
21439,HANCOCK
21441,HANCOCK
21443,HARDY
21444,HARDY
21446,HARDY
21449,HARRISON
21450,HARRISON
21451,HARRISON
21460,HARRISON
21461,HARRISON
21464,JACKSON
21465,JACKSON
21466,JACKSON
21467,JACKSON
21468,JACKSON
21470,JEFFERSON
21471,JEFFERSON
21472,JEFFERSON
21475,JEFFERSON
21476,JEFFERSON
21477,JEFFERSON
21479,KANAWHA
21481,KANAWHA
21482,KANAWHA
21483,"KANAWHA, PUTNAM"
21484,KANAWHA
21485,KANAWHA
21487,KANAWHA
21494,KANAWHA
21496,KANAWHA
21498,KANAWHA
21499,KANAWHA
21501,LEWIS
21502,LEWIS
21507,LINCOLN
21511,LOGAN
21514,LOGAN
21519,LOGAN
21521,MCDOWELL
21535,MARION
21536,MARION
21541,MARION
21544,MARION
21547,MARION
21548,MARION
21550,MARSHALL
21551,MARSHALL
21552,MARSHALL
21553,MARSHALL
21555,MARSHALL
21556,MARSHALL
21560,MASON
21561,MASON
21563,MASON
21570,MERCER
21572,MERCER
21573,MERCER
21582,MINERAL
21583,MINERAL
21588,MINERAL
21589,MINERAL
21591,MINGO
21592,MINGO
21593,MINGO
21600,MONONGALIA
21601,MONONGALIA
21605,MONONGALIA
21606,MONONGALIA
21611,MONROE
21612,"GREENBRIER, MONROE"
21618,MORGAN
21621,MORGAN
21623,NICHOLAS
21625,NICHOLAS
21628,NICHOLAS
21630,OHIO
21631,"MARSHALL, OHIO"
21633,OHIO
21637,OHIO
21638,OHIO
21640,OHIO
21644,PENDLETON
21645,PENDLETON
21647,PLEASANTS
21648,PLEASANTS
21649,PLEASANTS
21652,POCAHONTAS
21658,PRESTON
21666,PRESTON
21667,PRESTON
21670,PUTNAM
21672,PUTNAM
21679,RALEIGH
21680,RALEIGH
21686,RALEIGH
21689,RANDOLPH
21693,RANDOLPH
21695,RITCHIE
21699,RITCHIE
21702,ROANE
21703,ROANE
21704,ROANE
21707,SUMMERS
21708,SUMMERS
21713,TAYLOR
21715,TAYLOR
21716,TAYLOR
21721,TUCKER
21726,TYLER
21727,"TYLER, WETZEL"
21728,TYLER
21731,TYLER
21734,UPSHUR
21735,UPSHUR
21737,UPSHUR
21740,WAYNE
21741,WAYNE
21747,WEBSTER
21754,WETZEL
21756,WETZEL
21760,WETZEL
21763,WIRT
21765,WIRT
21768,WOOD
21769,WOOD
21770,WOOD
21771,WOOD
21772,WOOD
21776,WYOMING
21777,WYOMING
21778,WYOMING
21784,RALEIGH
21785,MORGAN
21786,UPSHUR
21787,JEFFERSON
21788,KANAWHA
21789,HARRISON
21790,CLAY
21792,RANDOLPH
21793,MARION
21794,PENDLETON
21795,GILMER
21796,TAYLOR
21797,CALHOUN
21798,LINCOLN
21799,RITCHIE
21800,SUMMERS
21801,CABELL
21802,MINERAL
21803,PRESTON
21804,GREENBRIER
21805,LOGAN
21806,BOONE
21807,POCAHONTAS
21808,BERKELEY
21809,FAYETTE
21810,HARDY
21811,MONONGALIA
21812,MARSHALL
21813,FAYETTE
21814,TYLER
21815,WOOD
21816,TUCKER
21818,BARBOUR
21819,WYOMING
21820,MASON
21821,MERCER
21822,GREENBRIER
21823,NICHOLAS
21824,JACKSON
21825,HAMPSHIRE
21826,PLEASANTS
21827,KANAWHA
21828,ROANE
21829,NICHOLAS
21830,BRAXTON
21831,OHIO
21832,MONROE
21833,WAYNE
21834,WEBSTER
21835,MCDOWELL
21836,BROOKE
21837,LEWIS
21838,DODDRIDGE
21839,BOONE
21840,MINGO
21841,PUTNAM
21844,HANCOCK
21847,RALEIGH
21850,KANAWHA
21852,BERKELEY
21853,RALEIGH
21855,MERCER
21856,MONONGALIA
23232,BROOKE
23261,MARION
25919,MONONGALIA
27593,RALEIGH
28013,MARSHALL
32874,MONONGALIA
