agency_id,county_name
21857,ALBANY
21858,ALBANY
21859,ALBANY
21864,CAMPBELL
21865,CAMPBELL
21869,CARBON
21873,CONVERSE
21874,CONVERSE
21875,CONVERSE
21876,CROOK
21879,CROOK
21882,FREMONT
21885,GOSHEN
21886,GOSHEN
21887,HOT SPRINGS
21888,HOT SPRINGS
21890,JOHNSON
21891,JOHNSON
21892,LARAMIE
21893,LARAMIE
21894,LARAMIE
21895,LINCOLN
21898,LINCOLN
21903,NATRONA
21905,NATRONA
21906,NATRONA
21907,NIOBRARA
21908,NIOBRARA
21909,PARK
21910,PARK
21911,PARK
21915,SHERIDAN
21916,SHERIDAN
21918,SUBLETTE
21922,SWEETWATER
21923,SWEETWATER
21924,SWEETWATER
21926,TETON
21927,TETON
21928,UINTA
21929,UINTA
21931,WASHAKIE
21932,WASHAKIE
21933,WESTON
21934,WESTON
21936,NOT SPECIFIED
33074,LARAMIE
